state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	Location.precision.col11	Location.precision.col12	Location.precision.col21	Location.precision.col22	correlation	Location.varCovar.Location.precision.col11	Location.varCovar.Location.precision.col12	Location.varCovar.Location.precision.col21	Location.varCovar.Location.precision.col22	Location.diffusionRate	treeLikelihood	branchRates	Location.traitLikelihood	coalescent	treeLengthPrecision1	treeLengthPrecision2	treeLengthPrecision3
200000	-6753.654886072656	-7940.276032780518	1186.6211467078615	7.17887030038304	2017.1763209564474	29.935717281197793	0.4622724754541288	15.117141660067356	0.25797200842700485	0.19276025460970106	0.2685265555440008	0.2807411814193021	0.535328351888632	0.07634940383996114	0.015004919281557397	0.02849007990035999	0.0074232850586415915	1.71475942735652	-0.003485314927959851	127.10322042201786	-4.212892741674608	-4.212892741674608	114.57287626258893	0.03491091383826595	0.007877221802864083	2.8964875143562346E-4	2.896487514356234E-4	0.008738719771928105	548.1811422934436	-2529.280487736033	-6718.259484339178	3715.9016344438946	-77.76050434102577	3804.926072083292	3429.82123189052	-126.11596605078131
400000	-6632.303635251015	-7790.243591991897	1157.9399567408814	8.033204063714656	2016.3219871931158	29.824907553263696	0.3350028515225862	25.51190600805897	0.28096178875571653	0.1910066929177496	0.27952487551508876	0.24850664281145393	0.4627232225228069	0.1486737419087578	0.023075158558057186	0.04941129467684784	0.008824257702293645	1.9650372280841977	0.0023056574928962265	115.65912197833154	2.9490998187780186	2.9490998187780186	125.72855060452143	-0.024455839324705096	0.008651271329795788	-2.02924972794387E-4	-2.0292497279438703E-4	0.007958402774783201	528.203371309064	-2550.6000136579746	-6718.259484339178	3708.539970398856	18.288021583906943	3449.5226206953876	3749.842398585688	87.95662946040112
600000	-6574.394344424243	-7768.2323280871215	1193.8379836628783	7.109142745247802	2017.2460485115828	28.07189450577884	0.34718278133204294	17.36394331466453	0.27548422962140656	0.20790163525889913	0.2634944127265645	0.25311972239313874	0.6485980978199051	0.0822638631884831	0.021153405433816188	0.04677892255143372	0.008294037835452604	2.1792210635041145	0.01209839257731559	118.73568492263742	-1.3910448443662176	-1.3910448443662176	130.367670721033	0.011180611242795069	0.008423120836401184	8.987610768947461E-5	8.987610768947462E-5	0.007671572378065638	559.714214694023	-2502.8290051262293	-6718.259484339178	3696.6669887891076	24.07522793043278	3333.135621219673	3659.667499444951	-39.049264123856005
800000	-6651.794825854961	-7853.115783068351	1201.32095721339	8.298403197420864	2016.0567880594097	30.621354092906085	0.33502400621629835	16.10077524000045	0.2881357652927034	0.1971969585282387	0.2420547228728629	0.2726125533062041	0.6706887107760692	0.2983849664831126	0.024303913366238484	0.05559557699544437	0.008126772605596308	1.5287210381090293	0.016941561529677834	106.13681285690444	-5.331197384928077	-5.331197384928077	104.28462287190717	0.050673581897784814	0.009446057362650109	4.828976211717867E-4	4.828976211717867E-4	0.009613827953970177	494.3205932149656	-2511.5376768246406	-6718.259484339178	3712.8586340380307	8.037115208192315	3250.052928783778	3193.3363634058423	-163.2484828630576
1000000	-6686.522388789112	-7877.808384977142	1191.2859961880304	7.246909734566054	2017.1082815222644	28.552114683152073	0.3753157211162236	20.559920466613672	0.26806362882733603	0.2215434223594807	0.23448909801011442	0.2759038508030783	1.4944486556495074	0.3418059775051996	0.022148313757921742	0.03922366216189384	0.009343423511288708	1.6009701733567638	0.14999518228402633	115.36757580157257	-8.92370687993006	-8.92370687993006	126.63294148806528	0.07382952349626797	0.008715452895631406	6.141699470337447E-4	6.141699470337445E-4	0.00794011937783625	521.8156880742316	-2528.3250977625858	-6718.259484339178	3719.611093950616	-0.7318976313416151	3293.98825500374	3615.6382680321262	-254.79070223459627
1200000	-6754.891645137335	-7959.08974193199	1204.1980967946552	7.643739234857484	2016.711452021973	29.788163074371944	0.37396811972882243	27.834620144435483	0.28350025349123803	0.20840344889471962	0.2563582954431217	0.2517380021709306	0.7767319466316828	0.29238343897943464	0.02520981787184897	0.0685940767365406	0.009302609741736375	2.3312602663166744	0.014015214589385653	109.28732324149544	2.1884565244716025	2.1884565244716025	114.64127287529058	-0.019551610158181063	0.009153691223930567	-1.7474034245765105E-4	-1.7474034245765105E-4	0.008726197699590958	512.0692701702383	-2542.763561673945	-6718.259484339178	3746.9616584686	-18.964862620672562	3255.468606679265	3414.952931462729	65.19009983213336
1400000	-6770.5551363446075	-8008.685525745875	1238.1303894012672	6.4319703134118305	2017.9232209434188	27.45606466979484	0.37711704678862135	12.296749207049983	0.26182689063309633	0.22695142447817426	0.25627336479828333	0.2549483200904566	0.3751316419669308	0.19827886748266826	0.017962023904978138	0.0347294064274355	0.007980130606481233	1.9425455425029081	0.03682132992868574	106.26840288472998	-3.9384664771681397	-3.9384664771681397	122.27164024901968	0.03455112616128761	0.00942138189674093	3.034701807658987E-4	3.0347018076589874E-4	0.008188286385090789	627.5881867847326	-2499.4696604322176	-6718.259484339178	3737.6000498334847	-36.09191350787027	2917.712141958959	3357.098061958974	-108.13479029694751
1600000	-6669.933794376457	-7884.046110079886	1214.1123157034294	6.8046682012949695	2017.5505230555355	27.889356052358536	0.353821014280324	14.972402197684177	0.27790234212524056	0.2207549302421886	0.24029265131867397	0.26105007631390725	1.2214223371048312	0.4300373759970722	0.020284224033001938	0.04813208140415491	0.008290179871136883	2.0416823698949758	0.005649725655875896	125.78158444507883	-2.3675054988158046	-2.3675054988158046	104.47931330728328	0.02065224702328246	0.007953681786675744	1.802307535311229E-4	1.802307535311229E-4	0.009575356744140284	632.1369625207947	-2503.637066553119	-6718.259484339178	3717.7493822565484	12.32459620993603	3507.9673934186058	2913.8607689327446	-66.02820381239067
1800000	-6730.782312747353	-7902.348421594589	1171.5661088472366	6.760759568109972	2017.5944316887205	28.336496755653034	0.3655200136192635	20.326298314902292	0.2546248066471753	0.20214396302412407	0.2634913416420004	0.2797398886867106	1.81804354444151	0.34199462779745565	0.016401734138827215	0.024424382006528498	0.007829841665047094	1.4311204556718582	-0.046262486676926215	141.49825243857066	-4.288000113936464	-4.288000113936464	111.56703507349945	0.0341280366324894	0.007075466048460978	2.7194053514074994E-4	2.719405351407499E-4	0.008973672916790406	622.3622096412789	-2551.9912371577066	-6718.259484339178	3723.557346004943	-6.718751189458339	4009.5647711561314	3161.4189273980455	-121.50690131680045
2000000	-6667.403768234412	-7883.906527518073	1216.5027592836605	6.221058131248357	2018.1341331255821	27.12553985299904	0.3347412516642555	23.403651168066105	0.25525337065442155	0.20708598540373102	0.2389702474829843	0.29869039645887385	1.9293083888878164	0.29536007389551455	0.02625851117468805	0.06678946678711799	0.009763677883832393	2.178901894499657	-0.01302788543545995	111.9270495569421	-2.8971432750786126	-2.8971432750786126	106.8375876859186	0.026493565451904615	0.008940666317873141	2.4244642600594783E-4	2.4244642600594786E-4	0.009366576162076378	658.3790933703781	-2493.5286789742713	-6718.259484339178	3710.0314382579318	4.699214305646194	3036.0816433854316	2898.027242572665	-78.58657536799306
