time	diffusion_coefficient	number_of_branches
2016.75794025546	194.229229107837	0.1
2016.79602576797	207.268026790569	0.1
2016.83411128047	220.32120155424	0.1
2016.87219679297	233.38818778242	0.12
2016.91028230548	198.79061101349	0.14
2016.94836781798	213.25060842651	0.14
2016.98645333049	143.694308143036	0.22
2017.02453884299	158.018826433317	0.24
2017.06262435549	165.325870717702	0.3
2017.100709868	174.715629066375	0.34
2017.1387953805	199.677845004967	0.36
2017.17688089301	240.936035128192	0.36
2017.21496640551	283.28196321668	0.36
2017.25305191801	205.54324432214	0.35
2017.29113743052	226.791380850811	0.39
2017.32922294302	253.759334602543	0.41
2017.36730845553	278.660025720312	0.43
2017.40539396803	301.314243993116	0.44
2017.44347948053	321.886729827995	0.46
2017.48156499304	351.708613037192	0.53
2017.51965050554	401.01009495276	0.53
2017.55773601805	430.474055653892	0.55
2017.59582153055	481.007984667743	0.55
2017.63390704305	532.683125314455	0.57
2017.67199255556	557.975619558348	0.59
2017.71007806806	582.321834717017	0.62
2017.74816358056	611.328294880985	0.67
2017.78624909307	669.30224068906	0.67
2017.82433460557	651.041426588213	0.73
2017.86242011808	663.473553849804	0.77
2017.90050563058	677.4208105442	0.72
2017.93859114308	709.547253304798	0.76
2017.97667665559	770.326333001017	0.73
2018.01476216809	737.51053034959	0.72
2018.0528476806	455.029821758751	0.72
2018.0909331931	555.344059659574	0.71
2018.1290187056	546.854970979995	0.77
2018.16710421811	560.075949752185	0.83
2018.20518973061	610.286490024804	0.85
2018.24327524312	642.935056228006	0.91
2018.28136075562	658.981271272151	0.95
2018.31944626812	560.206419088234	0.94
2018.35753178063	643.256606208492	0.99
2018.39561729313	670.686308674012	1.03
2018.43370280564	796.93656938361	1.03
2018.47178831814	778.36861665359	1.02
2018.50987383064	688.193884712115	1
2018.54795934315	728.028686571597	1.13
2018.58604485565	767.131106550191	1.19
2018.62413036816	716.990216774931	1.24
2018.66221588066	801.785004003422	1.26
2018.70030139316	868.551129203776	1.3
2018.73838690567	1893.80736603415	1.26
2018.77647241817	3295.8154076857	1.26
2018.81455793068	4391.31276954858	1.33
2018.85264344318	5818.14885523112	1.28
