time	diffusion_coefficient	number_of_branches
2016.75794025546	0.311048158690424	0
2016.79602576797	0.553690879497852	0
2016.83411128047	0.796334080268018	0
2016.87219679297	1.51219415454491	0
2016.91028230548	1.63090368300639	0
2016.94836781798	1.93813383342281	0
2016.98645333049	1.20892186830456	0
2017.02453884299	22.8248520380797	0
2017.06262435549	51.2979952893006	0
2017.100709868	86.6212975725845	0
2017.1387953805	141.784386986502	0
2017.17688089301	196.945896198689	0
2017.21496640551	252.10580572751	0
2017.25305191801	153.971601238526	0
2017.29113743052	9.80025127373266	0
2017.32922294302	90.6404484321137	0
2017.36730845553	116.985040085421	0
2017.40539396803	86.4170026246228	0
2017.44347948053	0.290811005586975	0
2017.48156499304	6.66957670027363	0
2017.51965050554	66.8118374580414	0
2017.55773601805	126.952313129049	0
2017.59582153055	187.090980553391	0
2017.63390704305	247.227816520382	0
2017.67199255556	307.362797859699	0
2017.71007806806	181.838565748118	0
2017.74816358056	67.291276232011	0
2017.78624909307	220.563070994051	0
2017.82433460557	109.665879929215	0
2017.86242011808	99.2875781604644	0
2017.90050563058	169.25968725039	0
2017.93859114308	95.5063636954558	0
2017.97667665559	105.756132231609	0
2018.01476216809	80.9660700621409	0
2018.0528476806	5.36224358953968	0
2018.0909331931	75.4741972411261	0
2018.1290187056	0.892956375534316	0
2018.16710421811	0.933622033418145	0
2018.20518973061	8.90452643271524	0
2018.24327524312	80.6431814066107	0
2018.28136075562	127.467886855674	0
2018.31944626812	182.929445139138	0
2018.35753178063	195.288330363317	0
2018.39561729313	261.352648383697	0
2018.43370280564	346.060856347138	0
2018.47178831814	455.689826044941	0
2018.50987383064	262.845493367324	0
2018.54795934315	210.901698637269	0
2018.58604485565	228.844362058747	0
2018.62413036816	241.963038620779	0
2018.66221588066	421.161961327628	0
2018.70030139316	481.273551538521	0
2018.73838690567	534.615807639681	0
2018.77647241817	647.020246401232	0
2018.81455793068	724.8431741434	0
2018.85264344318	828.726644454088	0
2018.89072895568	743.260904224706	0
2018.92881446819	739.332428257708	0
2018.96689998069	665.763872289371	1
2019.0049854932	570.515499884675	2
2019.0430710057	715.843208787855	2
2019.0811565182	861.163622165766	2
2019.11924203071	1198.51748278387	2
2019.15732754321	1482.22963114926	0
2019.19541305571	1589.80703475472	0
2019.23349856822	1786.88541939779	1
2019.27158408072	1643.08653196562	0
2019.30966959323	1025.10432350909	0
2019.34775510573	1350.15235332404	0
2019.38584061823	1377.19997185154	0
2019.42392613074	1271.12513985355	0
2019.46201164324	805.815659514162	0
2019.50009715575	1131.29345375412	0
2019.53818266825	1129.9844945813	0
2019.57626818075	1311.18836963933	0
2019.61435369326	1399.26528298369	0
2019.65243920576	1158.59561583425	0
2019.69052471827	1328.41215628896	0
2019.72861023077	1786.54795327252	0
2019.76669574327	1788.92439817742	0
2019.80478125578	1870.48829618885	0
2019.84286676828	2086.35835198821	0
2019.88095228079	2058.39856665602	0
2019.91903779329	2240.45441461871	0
2019.95712330579	2351.36774914546	0
2019.9952088183	2444.08672470887	0
2020.0332943308	2766.13867747831	0
2020.07137984331	2979.59495202697	0
2020.10946535581	3045.03888249266	0
2020.14755086831	3136.86181760051	0
2020.18563638082	3349.42929111889	0
2020.22372189332	3455.15876598386	0
2020.26180740583	3808.95420593088	0
2020.29989291833	4358.63044661845	0
2020.33797843083	4536.01398415943	0
2020.37606394334	4475.52963054501	0
2020.41414945584	4698.57333720513	0
2020.45223496835	5278.4318462139	0
2020.49032048085	5332.76498354727	0
2020.52840599335	5519.7628966534	0
2020.56649150586	5603.07971146363	0
2020.60457701836	6587.72341641663	0
2020.64266253086	6723.6876448919	0
2020.68074804337	7283.90159151309	0
2020.71883355587	7965.71845801092	0
2020.75691906838	8510.522567309	0
2020.79500458088	8929.91126917917	0
2020.83309009338	9407.360492293	0
2020.87117560589	8817.94436778898	0
2020.90926111839	8525.82515349249	0
2020.9473466309	9107.27424832276	0
2020.9854321434	8807.6142773754	0
2021.0235176559	9114.88206153854	0
2021.06160316841	9177.80879905922	0
2021.09968868091	9476.33469933593	0
2021.13777419342	10005.6289307387	0
2021.17585970592	11890.5624664209	0
2021.21394521842	13097.3737212123	0
2021.25203073093	11425.327562255	0
2021.29011624343	12758.048469946	0
2021.32820175594	13337.5039610996	0
2021.36628726844	12566.3911793385	0
2021.40437278094	13121.0137798326	0
2021.44245829345	13686.3629294968	0
2021.48054380595	12989.7736801996	0
2021.51862931846	7459.09136052555	0
