time	diffusion_coefficient	number_of_branches
2015.75171398298	20207.378771469	0.02
2015.7948432362	21880.2477367855	0.02
2015.83797248942	23553.3628339935	0.02
2015.88110174263	25226.7153504063	0.02
2015.92423099585	13461.9348484132	0.04
2015.96736024907	14319.8514280555	0.04
2016.01048950229	15177.8728627094	0.04
2016.05361875551	16035.994792776	0.04
2016.09674800872	11269.1486382091	0.06
2016.13987726194	11849.2936212969	0.06
2016.18300651516	9327.57561753351	0.08
2016.22613576838	4892.92704324882	0.1
2016.2692650216	5011.7249365128	0.11
2016.31239427482	4836.97774646788	0.11
2016.35552352803	4662.18409761298	0.11
2016.39865278125	4461.03580306543	0.13
2016.44178203447	4281.76828326313	0.13
2016.48491128769	4102.45748605768	0.13
2016.52804054091	3270.69914825931	0.15
2016.57116979412	2682.69294726828	0.17
2016.61429904734	2565.57210365628	0.17
2016.65742830056	1910.05734741035	0.21
2016.70055755378	1832.54361702544	0.21
2016.743686807	1581.40752057529	0.23
2016.78681606021	1521.30748042987	0.23
2016.82994531343	3922.26445993512	0.27
2016.87307456665	6777.31683954836	0.29
2016.91620381987	3702.26466430862	0.33
2016.95933307309	3174.95993914384	0.37
2017.00246232631	3142.95226197347	0.37
2017.04559157952	2746.54279795761	0.41
2017.08872083274	2692.73018237128	0.41
2017.13185008596	2526.09617600204	0.43
2017.17497933918	2347.07103400639	0.47
2017.2181085924	1981.74872612701	0.52
2017.26123784561	1882.7908732788	0.58
2017.30436709883	1914.67904427886	0.61
2017.34749635205	1769.65931469656	0.67
2017.39062560527	1843.13435332593	0.69
2017.43375485849	1824.71291907125	0.72
2017.4768841117	1836.0111204353	0.76
2017.52001336492	1778.66340514532	0.82
2017.56314261814	1826.7372655113	0.82
2017.60627187136	1842.86853874655	0.84
2017.64940112458	1902.73066358657	0.81
2017.6925303778	1976.943755184	0.81
2017.73565963101	1951.22449001217	0.82
2017.77878888423	1960.27634226802	0.84
2017.82191813745	1888.52837310448	0.83
2017.86504739067	2355.99815488696	0.9
2017.90817664389	4459.75398317537	0.94
2017.9513058971	7236.06768271558	0.9
2017.99443515032	9572.0471203362	0.92
2018.03756440354	5397.97873162248	1.07
2018.08069365676	45011.2509219495	1.11
2018.12382290998	31083.1640622446	1.12
2018.1669521632	31858.19720647	1.14
2018.21008141641	34178.2140737285	1.09
2018.25321066963	34258.1909687696	1.06
2018.29633992285	34401.4496088636	1.06
2018.33946917607	34518.5817843422	1.07
2018.38259842929	34612.9988195587	1.05
2018.4257276825	35643.387092474	1.05
