time	diffusion_coefficient	number_of_branches
2015.75171398298	4060.40611918561	0.02
2015.7948432362	5730.44866541589	0.02
2015.83797248942	NA	0
2015.88110174263	NA	0
2015.92423099585	NA	0
2015.96736024907	NA	0
2016.01048950229	NA	0
2016.05361875551	NA	0
2016.09674800872	NA	0
2016.13987726194	NA	0
2016.18300651516	NA	0
2016.22613576838	NA	0
2016.2692650216	NA	0
2016.31239427482	NA	0
2016.35552352803	37.8270500881454	0.02
2016.39865278125	79.8584668295066	0.02
2016.44178203447	121.888319129367	0.02
2016.48491128769	3.28104873333927	0.02
2016.52804054091	27.0963726326363	0.02
2016.57116979412	26.2241837670633	0.04
2016.61429904734	53.4712424192825	0.04
2016.65742830056	1872.87610652203	0.05
2016.70055755378	919.015431511443	0.07
2016.743686807	844.878456126737	0.05
2016.78681606021	357.963536755936	0.05
2016.82994531343	156.721388199776	0.04
2016.87307456665	42.9186563926502	0.03
2016.91620381987	70.6055485378982	0.03
2016.95933307309	60.1422632549723	0.0500000000000001
2017.00246232631	43.2589086022188	0.04
2017.04559157952	81.9201121368833	0.04
2017.08872083274	83.5718411013324	0.08
2017.13185008596	118.363305263893	0.06
2017.17497933918	130.064906536479	0.06
2017.2181085924	2486.69559665457	0.08
2017.26123784561	11139.9143787507	0.09
2017.30436709883	9029.65700333237	0.11
2017.34749635205	5978.8606834005	0.15
2017.39062560527	5507.66130031227	0.16
2017.43375485849	2163.36046990114	0.15
2017.4768841117	72.8670201183903	0.12
2017.52001336492	96.4763593085591	0.08
2017.56314261814	110.389699231101	0.08
2017.60627187136	122.262654169961	0.13
2017.64940112458	135.583346276577	0.19
2017.6925303778	197.842548545129	0.23
2017.73565963101	298.122804542857	0.23
2017.77878888423	299.685992201235	0.24
2017.82191813745	185.391054667249	0.21
2017.86504739067	162.392682518929	0.17
2017.90817664389	141.816378624439	0.24
2017.9513058971	119.795077257033	0.21
2017.99443515032	172.03228158923	0.23
2018.03756440354	213.738432225373	0.18
2018.08069365676	77.8183006296916	0.04
2018.12382290998	106.400505517823	0.04
2018.1669521632	49.13828132696	0.02
2018.21008141641	51.8463791393813	0.04
2018.25321066963	90.1305713937588	0.06
2018.29633992285	10956.8743055338	0.16
2018.33946917607	16840.0536584373	0.22
2018.38259842929	23640.8893372774	0.23
2018.4257276825	27011.2169717418	0.27
2018.46885693572	13872.8574940088	0.32
2018.51198618894	88490.3463591014	0.34
2018.55511544216	84459.9518381316	0.37
2018.59824469538	102192.805580681	0.3
2018.6413739486	184938.850022915	0.21
2018.68450320181	115.242815584473	0.2
2018.72763245503	178.843756819961	0.19
2018.77076170825	491.375192358742	0.13
2018.81389096147	575.895173892829	0.13
2018.85702021469	175.143299923272	0.16
2018.9001494679	179.799852778537	0.19
2018.94327872112	252.031307008311	0.16
2018.98640797434	13490.5950244939	0.24
2019.02953722756	43522.9806989134	0.28
2019.07266648078	45533.9961008227	0.23
2019.11579573399	40564.3895397454	0.26
2019.15892498721	52301.8432319373	0.19
2019.20205424043	23939.5220195004	0.15
2019.24518349365	1431.28157056632	0.12
