time	diffusion_coefficient	number_of_branches
2015.01403646248	0.019480004973286	0.02
2015.06086334738	0.0280253660723101	0.02
2015.10769023228	NA	0
2015.15451711718	NA	0
2015.20134400208	NA	0
2015.24817088698	NA	0
2015.29499777188	NA	0
2015.34182465678	0.440487595567418	0.02
2015.38865154168	34.3496653954328	0.02
2015.43547842658	57.2894447752677	0.04
2015.48230531148	102.858358146588	0.08
2015.52913219638	207.216779790585	0.06
2015.57595908128	311.352401203088	0.06
2015.62278596618	NA	0
2015.66961285108	139.498181419301	0.02
2015.71643973598	170.609643039285	0.04
2015.76326662088	280.77134081923	0.04
2015.81009350578	92.6644428843519	0.02
2015.85692039068	129.753894583169	0.02
2015.90374727558	NA	0
2015.95057416048	NA	0
2015.99740104538	111.991774083617	0.02
2016.04422793028	83.8079991188537	0.06
2016.09105481518	93.250959117665	0.1
2016.13788170008	65.4986680217389	0.12
2016.18470858498	100.66388243244	0.14
2016.23153546988	97.5481934230427	0.18
2016.27836235478	61.340767772616	0.14
2016.32518923968	91.1805197975965	0.16
2016.37201612458	166.801750203864	0.12
2016.41884300948	225.165749934272	0.08
2016.46566989438	148.333779065175	0.14
2016.51249677928	106.30061886663	0.16
2016.55932366418	188.590567691164	0.16
2016.60615054907	301.313687391497	0.12
2016.65297743397	41.6491858590621	0.14
2016.69980431887	114.967799586798	0.16
2016.74663120377	166.14575105707	0.26
2016.79345808867	208.325350103029	0.3
2016.84028497357	201.314042944856	0.22
2016.88711185847	84.3890257282878	0.2
2016.93393874337	117.787686062459	0.22
2016.98076562827	188.949497960908	0.18
2017.02759251317	298.680015627298	0.16
2017.07441939807	155.545893144755	0.12
2017.12124628297	224.634565228337	0.1
2017.16807316787	257.077972669043	0.1
2017.21490005277	164.14976208956	0.12
2017.26172693767	115.560535977538	0.06
2017.30855382257	110.072619788432	0.1
2017.35538070747	180.21470643011	0.16
2017.40220759237	252.145215273464	0.14
2017.44903447727	308.378393017937	0.18
2017.49586136217	230.198689138316	0.12
2017.54268824707	123.903546920038	0.1
2017.58951513197	81.3643132995881	0.1
2017.63634201687	118.233764553889	0.08
2017.68316890177	144.240123091472	0.12
2017.72999578667	156.491674108465	0.24
2017.77682267157	295.823018506938	0.2
2017.82364955647	458.397629303722	0.18
2017.87047644137	732.917398774423	0.1
2017.91730332627	20.5081646204838	0.04
2017.96413021117	266.642665002687	0.06
2018.01095709607	866.373174857721	0.04
2018.05778398097	1294.1709708362	0.04
2018.10461086587	51.8061133615496	0.08
2018.15143775077	124.302426243699	0.12
2018.19826463567	295.709676962332	0.1
2018.24509152057	505.716131495939	0.1
2018.29191840547	361.715546665311	0.08
2018.33874529037	339.43678713015	0.06
2018.38557217527	241.023793440216	0.04
2018.43239906017	298.170148043503	0.02
2018.47922594507	NA	0
2018.52605282997	NA	0
2018.57287971487	NA	0
2018.61970659977	NA	0
2018.66653348467	NA	0
2018.71336036957	NA	0
2018.76018725447	NA	0
2018.80701413937	NA	0
2018.85384102427	NA	0
2018.90066790917	NA	0
2018.94749479407	NA	0
2018.99432167897	NA	0
2019.04114856387	NA	0
2019.08797544877	NA	0
2019.13480233367	NA	0
2019.18162921857	NA	0
2019.22845610347	NA	0
