time	diffusion_coefficient	number_of_branches
2016.75794025546	148.021444605299	0.04
2016.79602576797	187.094792536279	0.04
2016.83411128047	113.084942011937	0.06
2016.87219679297	0.168909708328034	0.05
2016.91028230548	0.130012870008119	0.05
2016.94836781798	0.0911160485547159	0.05
2016.98645333049	0.0522192131317994	0.05
2017.02453884299	0.0617145686245992	0.02
2017.06262435549	0.0735203766563191	0.02
2017.100709868	0.105708851312476	0.04
2017.1387953805	0.348351159624197	0.04
2017.17688089301	0.590993916088317	0.04
2017.21496640551	0.83363719653518	0.04
2017.25305191801	4.73133241686879	0.07
2017.29113743052	19.6331192021241	0.09
2017.32922294302	35.7174236327629	0.09
2017.36730845553	34.8944456131647	0.17
2017.40539396803	62.7527116455872	0.17
2017.44347948053	87.7116844627131	0.25
2017.48156499304	125.968568418428	0.27
2017.51965050554	141.220929631006	0.24
2017.55773601805	186.379467823277	0.24
2017.59582153055	263.167534684469	0.17
2017.63390704305	290.94458367663	0.14
2017.67199255556	184.959455877405	0.14
2017.71007806806	46.0453846526597	0.11
2017.74816358056	103.605571059375	0.09
2017.78624909307	99.8107933715201	0.13
2017.82433460557	111.942776040621	0.15
2017.86242011808	123.13943863883	0.23
2017.90050563058	171.580493709651	0.23
2017.93859114308	92.0882390448854	0.18
2017.97667665559	128.206147098426	0.19
2018.01476216809	176.231288377877	0.19
2018.0528476806	222.586968284038	0.19
2018.0909331931	157.988171572079	0.21
2018.1290187056	71.9119038606943	0.17
2018.16710421811	122.411213425298	0.16
2018.20518973061	123.353466520498	0.22
2018.24327524312	104.423889591185	0.23
2018.28136075562	157.266836301431	0.23
2018.31944626812	210.873899809368	0.23
2018.35753178063	143.299314820768	0.18
2018.39561729313	164.305022190994	0.22
2018.43370280564	190.007009596649	0.29
2018.47178831814	183.23235600256	0.23
2018.50987383064	157.342272090151	0.33
2018.54795934315	96.1243719002648	0.37
2018.58604485565	139.103045696794	0.35
2018.62413036816	88.706774547356	0.37
2018.66221588066	104.74241300356	0.34
2018.70030139316	161.979617311764	0.38
2018.73838690567	235.724963099148	0.41
2018.77647241817	324.348737591803	0.35
2018.81455793068	385.392834474265	0.33
2018.85264344318	419.441224487788	0.3
2018.89072895568	304.334780227031	0.3
2018.92881446819	207.147223801044	0.39
2018.96689998069	169.9441413286	0.42
2019.0049854932	201.101168079462	0.39
2019.0430710057	281.357958626503	0.43
2019.0811565182	255.022220664737	0.48
