,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0,Inf,0,Inf
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,2.8,0.4,2,0.5
Herbaceous_vegetation,0.2,4.6,0.5,1.9
Cultivated_managed_vegetation,0.3,3.8,0.2,5.2
Regularly_flooded_vegetation,1.2,0.8,1.6,0.6
Culex_q_map,0,Inf,0,Inf
Culicoides_map,0,Inf,0,Inf
A_aegypti,0,49,0,49
Soil_moisture_AM,7.3,0.1,5.7,0.2
Deciduous_broadleaf_trees,0.4,2.7,0.8,1.2
Evergreen_broadleaf_trees,Inf,0,99,0
Mixed_trees,0.6,1.6,1.6,0.6
Grasslands,0.3,3.3,0.7,1.5
Shrublands,0,49,0.1,7.3
Savannas,0.1,8.1,0.6,1.7
Woody_savannas,0.6,1.6,0.7,1.4
Cropland_&_natural_vegetation,0.4,2.6,0.4,2.2
Croplands_2019,1.9,0.5,2.4,0.4
Banana_harvested_area,0,99,0,49
Cassava_harvested_area,0.1,13.3,0.1,11.5
Cocoa_harvested_area,0.1,9,0,99
Coffee_harvested_area,0.2,4.3,0.2,4.6
Maize_harvested_area,0.2,6.1,0.3,3.3
Soybean_harvested_area,2.7,0.4,1.7,0.6
Sugarcane_harvested_area,0.1,6.7,0.2,4
Cattle_production,0.9,1.1,0.5,1.9
Forest_loss_2020-2023,1.9,0.5,2.6,0.4
Waterbodies,0.2,4,0.3,3.8
Precipitation_mean_2023,3.2,0.3,3.2,0.3
Annual_mean_temperature_2020,2.7,0.4,2.8,0.4
