,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0.1,8.1,0.1,6.7
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,1.3,0.8,0.8,1.3
Herbaceous_vegetation,0.1,6.7,0.2,4.3
Cultivated_managed_vegetation,0.1,9,0.1,7.3
Regularly_flooded_vegetation,0.1,6.7,0.2,5.7
Culex_q_map,0.1,13.3,0.1,7.3
Culicoides_map,0,Inf,0,Inf
A_aegypti,2.4,0.4,2.3,0.4
Soil_moisture_AM,6.7,0.1,6.7,0.1
Deciduous_broadleaf_trees,0.1,8.1,0.1,7.3
Evergreen_broadleaf_trees,19,0.1,9,0.1
Mixed_trees,0.3,3.2,0.4,2.8
Grasslands,0.3,3,0.4,2.2
Shrublands,0.1,10.1,0.1,15.7
Savannas,0.2,5.2,0.2,4.3
Woody_savannas,0.7,1.5,1,1
Cropland_&_natural_vegetation,0.9,1.2,1.2,0.9
Croplands_2019,0.4,2.8,0.2,4.3
Banana_harvested_area,0,99,0,Inf
Cassava_harvested_area,0,99,0,32.3
Cocoa_harvested_area,0,24,0,32.3
Coffee_harvested_area,0.1,8.1,0,24
Maize_harvested_area,0,Inf,0,24
Soybean_harvested_area,0.3,3.2,0.2,4.6
Sugarcane_harvested_area,0.2,6.1,0.2,4.6
Cattle_production,0,49,0,32.3
Forest_loss_2020-2023,1.8,0.6,1.5,0.7
Waterbodies,0.1,10.1,0.1,19
Precipitation_mean_2023,2.3,0.4,2.7,0.4
Annual_mean_temperature_2020,0,49,0.1,7.3
