,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0.2,4.6,0.2,2.8
Urban_&_built-up_areas,0,7.3,0,10.1
Elevation,1.6,1.6,1.4,1.5
Herbaceous_vegetation,0.1,0.4,0.1,0.5
Cultivated_managed_vegetation,0.4,5.7,0.2,3.8
Regularly_flooded_vegetation,0.6,2.3,0.5,5.2
Culex_q_map,0.7,0.7,0.6,0.6
Culicoides_map,0.4,0.4,0.3,0.4
A_aegypti,0.1,0.1,0.1,0.1
Soil_moisture_AM,0.3,0.3,0.5,0.5
Deciduous_broadleaf_trees,0.1,4.3,0.2,2.6
Evergreen_broadleaf_trees,0.9,7.3,1.6,8.1
Mixed_trees,0.6,0.6,0.4,0.5
Grasslands,0.3,0.6,0.3,0.5
Shrublands,0.1,6.1,0.1,2.6
Savannas,0.2,1,0.3,0.9
Woody_savannas,0.2,3.5,0.2,1.9
Cropland_&_natural_vegetation,0.1,0.9,0.1,0.7
Croplands_2019,0.3,0.1,0.2,0.1
Banana_harvested_area,0.1,1.4,0.2,2
Cassava_harvested_area,0.2,2.2,0.2,1.6
Cocoa_harvested_area,0.3,2.7,0.2,7.3
Coffee_harvested_area,0.2,1.9,0.1,2.6
Maize_harvested_area,0.1,1,0.1,1
Soybean_harvested_area,0.9,0.5,0.6,1
Sugarcane_harvested_area,0.1,4,0.1,2
Cattle_production,0.4,0.4,0.4,0.4
Forest_loss_2020-2023,1.1,6.7,0.9,6.7
Waterbodies,0.3,3.5,0.4,3.8
Precipitation_mean_2023,1.2,1.2,1,1
Annual_mean_temperature_2020,0.7,0.7,0.7,0.7
