time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,40,101
2018.0975,49.9583333333333,101
2018.1625,44.9,101
2018.2275,52.4444444444444,101
2018.2925,48.25,101
2018.3575,40.5714285714286,101
2018.4225,37,101
2018.4875,35,101
2018.5525,33.8461538461538,101
2018.6175,39.375,101
2018.6825,37.5,101
2018.7475,46,101
2018.8125,48.125,101
2018.8775,45.063829787234,101
2018.9425,46.375,101
2019.0075,44.3333333333333,101
2019.0725,43.1428571428571,101
2019.1375,54,101
2019.2025,50.92,101
2019.2675,50.6666666666667,101
2019.3325,46.5833333333333,101
2019.3975,45.6666666666667,101
2019.4625,42.6666666666667,101
2019.5275,51,101
2019.5925,51.45,101
2019.6575,41.1777777777778,101
2019.7225,47,101
2019.7875,52,101
2019.8525,44.0833333333333,101
2019.9175,46,101
2019.9825,51.5,101
2020.0475,39.6666666666667,101
2020.1125,41,101
2020.1775,36,101
2020.2425,39.8333333333333,101
2020.3075,41,101
2020.3725,43,101
2020.4375,53.5,101
2020.5025,54.4,101
2020.5675,58,101
2020.6325,52.6666666666667,101
2020.6975,47.5,101
2020.7625,47.5,101
2020.8275,47.5,101
2020.8925,53.25,101
2020.9575,52.5,101
2021.0225,52.8,101
2021.0875,48.75,101
2021.1525,53.1538461538462,101
2021.2175,49.2,101
2021.2825,54.3684210526316,101
2021.3475,49,101
2021.4125,61.0769230769231,101
2021.4775,65.4736842105263,101
2021.5425,61.8611111111111,101
2021.6075,63.2666666666667,101
2021.6725,59.6,101
2021.7375,54.1315789473684,101
2021.8025,53.3888888888889,101
2021.8675,62.6111111111111,101
2021.9325,59.2857142857143,101
2021.9975,59,101
2022.0625,60.7407407407407,101
2022.1275,60.68,101
2022.1925,65.5263157894737,101
2022.2575,63.65,101
2022.3225,58.4285714285714,101
2022.3875,57.6666666666667,101
2022.4525,64.1666666666667,101
2022.5175,66.8095238095238,101
2022.5825,68.9285714285714,101
2022.6475,67.1346153846154,99.9111111111111
2022.7125,66.8648648648649,100.702479338843
2022.7775,67.2876712328767,100.365079365079
2022.8425,72.3375796178344,99.3333333333333
2022.9075,76.3857142857143,99.5068493150685
2022.9725,88.2994883903974,95.390665514261
2023.0375,85.071018967799,93.0343178621659
2023.1025,85.4769499127835,92.7813180827886
2023.1675,72.5715504978663,79.7461702127661
2023.2325,77.8985685071574,91.7388123924268
2023.2975,73.1853448275863,92.8400735294118
2023.3625,74.7196078431372,90.2016509433963
2023.4275,1,100
2023.4925,1,98.9437751004016
2023.5575,1,98.5042117930205
2023.6225,1,96.7072072072072
2023.6875,1,91.4565217391304
2023.7525,22.2972972972973,95.1462450592885
2023.8175,55.8344827586207,94.5500747384155
2023.8825,59.9386973180076,87.5529608006672
2023.9475,57.9822820694545,70.3772778402697
2024.0125,53.5232333633667,73.2803019512894
2024.0775,39.713026776636,58.7003480645496
2024.1425,11.7772036474164,69.4069944247338
2024.2075,10.034873323398,34.7379511320338
2024.2725,3.0264423076923,21.4946502057614
2024.3375,1.54166666666667,6.6764705882353
2024.4025,NA,NA
2024.4675,NA,NA
