time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,1
2018.0975,1,1
2018.1625,1,1
2018.2275,1,1
2018.2925,1,1
2018.3575,1,1
2018.4225,1,1
2018.4875,1,1
2018.5525,1,1
2018.6175,1,1
2018.6825,1,1
2018.7475,1,1
2018.8125,1,1
2018.8775,1,1
2018.9425,1,1
2019.0075,1,1
2019.0725,1,1
2019.1375,1,1
2019.2025,1,1
2019.2675,1,1
2019.3325,1,1
2019.3975,1,1
2019.4625,1,1
2019.5275,1,1
2019.5925,1,1
2019.6575,1,1
2019.7225,1,1
2019.7875,1,1
2019.8525,1,1
2019.9175,1,1
2019.9825,1,1
2020.0475,1,1
2020.1125,1,1
2020.1775,1,1
2020.2425,1,1
2020.3075,1,1
2020.3725,1,1
2020.4375,1,1
2020.5025,1,1
2020.5675,1,1
2020.6325,1,1
2020.6975,1,1
2020.7625,1,1
2020.8275,1,1
2020.8925,1,1
2020.9575,1,1
2021.0225,1,1
2021.0875,1,1
2021.1525,1,1
2021.2175,1,1
2021.2825,1,1
2021.3475,1,1
2021.4125,1,1
2021.4775,1,1
2021.5425,1,1
2021.6075,1,1
2021.6725,1,1
2021.7375,1,1
2021.8025,1,1
2021.8675,1,1
2021.9325,1,1
2021.9975,1,1
2022.0625,1,1
2022.1275,1,1
2022.1925,1,1
2022.2575,1,1
2022.3225,1,1
2022.3875,1,1
2022.4525,1,1
2022.5175,1,1
2022.5825,1,1
2022.6475,1,1
2022.7125,1,1
2022.7775,1,1
2022.8425,1,1
2022.9075,1,1
2022.9725,1.17012116267411,1.35432879104736
2023.0375,1,1
2023.1025,1,2.10269057012237
2023.1675,23.0112670530756,39.3524837067938
2023.2325,6.87073196826444,28.8514365765911
2023.2975,1.00693511901124,1.18961298681167
2023.3625,1,1.31069358599555
2023.4275,1,2.5068638920784
2023.4925,1,2.20549111366272
2023.5575,1,2.25571991006533
2023.6225,1,2.43510846864609
2023.6875,1,2.25571991006533
2023.7525,1,1.54285471825986
2023.8175,1,1.05186442631047
2023.8825,1,1.43962711446425
2023.9475,3.06039002982854,4.01948010326362
2024.0125,2.89298141570319,106.835257720965
2024.0775,30.3117202515861,278.521984192097
2024.1425,5.75106265735957,573.335450031817
2024.2075,32.8876373584072,621.239087390899
2024.2725,32.2623772727118,422.248154766277
2024.3375,173.500024414063,670.924017588298
2024.4025,NA,NA
2024.4675,NA,NA
