Human_population,Urban_&_built-up_areas,Elevation,Herbaceous_vegetation,Cultivated_managed_vegetation,Regularly_flooded_vegetation,Culex_q_map,Culicoides_map,A_aegypti,Soil_moisture_AM,Deciduous_broadleaf_trees,Evergreen_broadleaf_trees,Mixed_trees,Grasslands,Shrublands,Savannas,Woody_savannas,Cropland_&_natural_vegetation,Croplands_2019,Banana_harvested_area,Cassava_harvested_area,Cocoa_harvested_area,Coffee_harvested_area,Maize_harvested_area,Soybean_harvested_area,Sugarcane_harvested_area,Cattle_production,Forest_loss_2020-2023,Waterbodies,Precipitation_mean_2023,Annual_mean_temperature_2020
0,0,-3,0,0,0,0,0,0.162338554859161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616683959960938
0,0,142,0,0,0,0.0880121365189552,0.204000011086464,-0.268734455108643,-0.21295091509819,0,0,0,0,0,0,0,0,0,0,3.55794811248779,0,0.0593612007796764,39.8278694152832,0,0,608.600355148315,0.016499999910593,8,-2.11966037750244,-0.376668930053711
0,0,-12,0,0,0,0,0,-0.24066436290741,0,0,0,0,0,0,0,0,0,0,3.44035577774048,3.67901945114136,0,0.134515408426523,40.6468086242676,0,1.84315121173859,158.97900390625,0.0601000003516674,-8,0,-0.176666259765625
0,0,2,0,0,0,0,-0.0329999998211861,-0.187371492385864,-0.0130605101585388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946521759033203,0,0,-0.155449390411377,0.148334503173828
0,0,-9,0,0,0,0,0,-0.24066436290741,0,0,0,0,0,0,0,0,0,0,3.44035577774048,3.67901945114136,0,0.134515408426523,40.6468086242676,0,1.84315121173859,158.97900390625,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,-0.0747774541378021,-0.239000014960766,-0.07762011885643,0,0,0,0,0,0,0,0,0,0,-3.44035577774048,-7.23696756362915,0,-0.1938766092062,-69.8059902191162,0,-1.84315121173859,-329.406890869141,0,-8,0.180222988128662,-0.0266647338867188
0,0,2,0,0,0,0.0747774541378021,0.239000014960766,0.07762011885643,0,0,0,0,0,0,0,0,0,0,3.44035577774048,7.23696756362915,0,0.1938766092062,69.8059902191162,0,1.84315121173859,329.406890869141,0,0,-0.180222988128662,-0.150001525878906
30,0,-137,0,0,0,-0.0978297963738441,-0.190000012516975,0.296417832374573,0.0387690961360931,0,0,0,0,0,0,0,0,0,-3.44035577774048,-7.23696756362915,0,-0.1938766092062,-80.4746780395508,0,-1.84315121173859,-752.19905090332,-0.016499999910593,0,2.43232583999634,0.453334808349609
0,0,3,0,0,0,-0.0747774541378021,-0.239000014960766,-0.07762011885643,0,0,0,0,0,0,0,0,0,0,-3.44035577774048,-7.23696756362915,0,-0.1938766092062,-69.8059902191162,0,-1.84315121173859,-329.406890869141,0,0,0.180222988128662,0.108333587646484
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544195175170898,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266647338867188
0,0,-3,0,0,0,0,0,-0.0013853907585144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62626838684082,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0.00450485944747925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797999985516071,5,0.0612826347351074,0.0883331298828125
0,0,2,0,0,0,0,-0.00699999928474426,0,-0.0402429103851318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0734105110168457,-0.00833511352539062
0,0,53,0,0,0,0.0888007059693336,-0.0720000043511391,0.180116951465607,-0.124911367893219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.3101024627686,0,0,-2.67643976211548,-0.0516681671142578
0,0,62,0,0,0,0.0323452800512314,-0.104000002145767,-0.281675219535828,-0.0840800404548645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.348676681519,0.404100000858307,0,-3.37539339065552,0.0750007629394531
0,0,1,0,0,0,0,0.00699999928474426,0,0.0402429103851318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734105110168457,-0.0316658020019531
0,0,14,0,0,0,-0.0747774541378021,-0.239000014960766,-0.07762011885643,0,0,0,0,0,0,0,0,0,0,-3.44035577774048,-7.23696756362915,0,-0.1938766092062,-69.8059902191162,0,-1.84315121173859,-329.406890869141,0.0403999984264374,0,0.113019943237305,0.0416679382324219
0,0,0,0,41,0,0,0,0,0,0,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100002288818359
0,0,-120,0,22,0,0.108447656035423,-0.0529999956488609,0.470951646566391,0.132677108049393,0,-30,0,0,8,0,0,0,0,0,0,0,0,-10.6686878204346,0,0,-439.346436023712,-0.0056999996304512,0,-0.565913200378418,0.288331985473633
0,0,0,0,17,0,0,0,0,0.00450485944747925,0,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166664123535156
0,0,-1,0,0,0,0,0,0.0624553561210632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672030448913574,-0.110000610351562
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906999967992306,0,-0.0672030448913574,0.110000610351562
0,0,-2,0,0,0,0,0,0.0838938355445862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.303825378418,0,0,0,0.00499916076660156
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,0,-17,0,0,0,0.24066436290741,-0.00450485944747925,0,17,0,0,0,0,0,0,0,0,0,0,-0.134515408426523,0,0,0,-158.97900390625,-0.0601000003516674,8,0,0.193332672119141
0,0,1,0,-11,0,0,0,0,0,0,-7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108000002801418,0,0,-0.0166664123535156
0,0,-157,0,-41,0,-0.0473469942808151,-0.307000014930964,0.517416775226593,0.0607587397098541,0,41,0,0,0,0,0,0,0,-3.44035577774048,-7.23696756362915,0,-0.1938766092062,-80.4746780395508,0,-1.84315121173859,-769.474106550217,-0.0962999984622002,-5,0.162557125091553,0.4183349609375
19,0,87,0,41,0,0.0197389870882034,0.371999993920326,-0.23289942741394,-0.195988982915878,0,-34,19,0,-26,1,0,0,0,5.5161714553833,62.9539642333984,0,0.151194274425507,561.726745605469,0,11.7803039550781,4512.10214281082,0.016499999910593,0,-0.800097942352295,-0.719999313354492
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333404541015625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.44035577774048,-3.67901945114136,0,0,-40.6468086242676,0,-1.84315121173859,0,0.0601000003516674,0,0,0.0800018310546875
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,-138,0,0,0,-0.0657659098505974,-0.288000017404556,0.259285449981689,0.0998248159885406,0,0,0,0,0,0,0,0,0,0,-3.55794811248779,0,-0.0593612007796764,-39.8278694152832,0,0,-608.24430847168,-0.0766000002622604,-8,1.5740761756897,0.284999847412109
