Human_population,Urban_&_built-up_areas,Elevation,Herbaceous_vegetation,Cultivated_managed_vegetation,Regularly_flooded_vegetation,Culex_q_map,Culicoides_map,A_aegypti,Soil_moisture_AM,Deciduous_broadleaf_trees,Evergreen_broadleaf_trees,Mixed_trees,Grasslands,Shrublands,Savannas,Woody_savannas,Cropland_&_natural_vegetation,Croplands_2019,Banana_harvested_area,Cassava_harvested_area,Cocoa_harvested_area,Coffee_harvested_area,Maize_harvested_area,Soybean_harvested_area,Sugarcane_harvested_area,Cattle_production,Forest_loss_2020-2023,Waterbodies,Precipitation_mean_2023,Annual_mean_temperature_2020
0,0,6,0,0,0,0,0,-0.00103521347045898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164098739624023,0,0,0,0.0400009155273438
0,0,-3,0,0,0,0,0,-0.0424972176551819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.717543601989746,0,0,0,0.00333213806152344
0,0,62,0,0,0,0.0522569641470909,-0.0910000056028366,-0.135670483112335,-0.093190461397171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8941321372986,0,0,-2.034912109375,-0.0683326721191406
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153117179870605,0.0133323669433594
0,0,-75,0,0,0,-0.0080040842294693,0.0399999991059303,0.0381130576133728,0.0454813539981842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.7662301063538,0,0,0.836440086364746,-0.0616664886474609
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0450000762939453
0,0,-14,0,0,0,0,0,0,-0.0384284853935242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666618347167969
0,0,15,0,0,0,0,0,0.0317758321762085,0.0384284853935242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5616774559021,0,0,0,0.02166748046875
0,0,15,0,0,0,0,0,0.0317758321762085,0.0384284853935242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5616774559021,0,0,0,0.02166748046875
0,0,0,0,0,0,0,0,0,-0.0384284853935242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266666412353516
0,0,29,7,0,0,0.0303813293576241,0.0479999929666519,-0.199773073196411,-0.0338770747184753,0,-11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-1.0238926410675,0,0,-0.227311611175537,-0.138334274291992
0,0,0,22,13,0,0.441530011594296,0.269000008702278,-0.168508172035217,-0.266449302434921,0,-100,24,13.4799995422363,41,38.2400016784668,26.9599990844727,5.6100001335144,0,35.9608459472656,45.7395095825195,0,0,183.688949584961,0,0,4674.46078538895,0.209700003266335,2,-4.05303597450256,-1.47333335876465
0,0,0,2,-13,0,0,0,0.0217787027359009,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666656494140625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
0,0,-1,-6,13,0,0.0612224340438843,-0.127000004053116,-0.100753247737885,0,0,4,-6,26.75,-15,-16.6000022888184,1.90000152587891,-1.49000024795532,0,-32.781711101532,-41.1795177459717,0,0,-167.919187545776,0,0,-1926.67041015625,0,5,-0.0378785133361816,0.0916671752929688
0,0,110,-24,17,0,0.0292389988899231,-0.318000011146069,-0.000268816947937012,0.011335700750351,27,24,-13,-13.4799995422363,-31,9.68999862670898,-5.08999824523926,6.8899998664856,0,-35.9608459472656,-45.7395095825195,0,0,-173.898482322693,0,0,-2792.19909667969,-0.209500003271387,-1,0.324778079986572,0.723333358764648
0,0,0,-2,13,0,0,0,-0.0217787027359009,0,0,0,-8,0,-3,0,0,0,0,-32.781711101532,-41.1795177459717,0,0,-167.919187545776,0,0,0,0,0,0,-0.0666656494140625
