Human_population,Urban_&_built-up_areas,Elevation,Herbaceous_vegetation,Cultivated_managed_vegetation,Regularly_flooded_vegetation,Culex_q_map,Culicoides_map,A_aegypti,Soil_moisture_AM,Deciduous_broadleaf_trees,Evergreen_broadleaf_trees,Mixed_trees,Grasslands,Shrublands,Savannas,Woody_savannas,Cropland_&_natural_vegetation,Croplands_2019,Banana_harvested_area,Cassava_harvested_area,Cocoa_harvested_area,Coffee_harvested_area,Maize_harvested_area,Soybean_harvested_area,Sugarcane_harvested_area,Cattle_production,Forest_loss_2020-2023,Waterbodies,Precipitation_mean_2023,Annual_mean_temperature_2020
1,0,89,0,0,0,0.0882483497262001,0.149000003933907,0.942076802253723,0.553363740444183,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69937086105347,0,0,7.77031469345093,27.0300006866455
39,0,197,20,29,0,0.518191397190094,0.586000025272369,0.52066445350647,0.248721912503242,0,29,7,0,15,11.1099996566772,0,0,0,19.894645690918,71.9882278442383,0,6.34293842315674,616.461181640625,0,36.4321517944336,7544.5009765625,0.0322999991476536,2,4.00780725479126,26.8500003814697
93,0,188,0,44,0,0.518191397190094,0.672999978065491,0.52066445350647,0.248721912503242,0,12,31,0,13,11.1099996566772,0,0,0,19.894645690918,71.9882278442383,0,6.34293842315674,616.461181640625,0,36.4321517944336,7544.5009765625,0.0322999991476536,10,4.01856851577759,26.9266662597656
1,0,88,0,0,0,0.0882483497262001,0.156000003218651,0.942076802253723,0.553363740444183,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69937086105347,0,0,7.69284772872925,27.0050010681152
93,0,188,0,44,0,0.518191397190094,0.672999978065491,0.52066445350647,0.248721912503242,0,12,31,0,13,11.1099996566772,0,0,0,19.894645690918,71.9882278442383,0,6.34293842315674,616.461181640625,0,36.4321517944336,7544.5009765625,0.0322999991476536,10,4.01856851577759,26.9266662597656
1,0,89,0,0,0,0.0882483497262001,0.156000003218651,0.782091617584229,0.593606650829315,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69937086105347,0,0,7.69284772872925,26.9816665649414
1,0,131,0,0,0,0.119524940848351,0.0820000022649765,0.502780258655548,0.484324067831039,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.697875976562,0.000600000028498471,0,5.03424739837646,26.9883346557617
93,0,188,0,44,0,0.518191397190094,0.672999978065491,0.52066445350647,0.248721912503242,0,12,31,0,13,11.1099996566772,0,0,0,19.894645690918,71.9882278442383,0,6.34293842315674,616.461181640625,0,36.4321517944336,7544.5009765625,0.0322999991476536,2,4.01856851577759,26.8483333587646
1,0,131,0,0,0,0.119524940848351,0.0820000022649765,0.502780258655548,0.484324067831039,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.697875976562,0.000600000028498471,0,5.03424739837646,26.9883346557617
93,0,197,0,32,0,0.518191397190094,0.672999978065491,0.52066445350647,0.248721912503242,0,22,27,0,18,11.1099996566772,0,0,0,19.894645690918,71.9882278442383,0,6.34293842315674,616.461181640625,0,36.4321517944336,7544.5009765625,0.0322999991476536,10,4.01856851577759,26.9266662597656
39,0,197,20,29,0,0.518191397190094,0.586000025272369,0.52066445350647,0.248721912503242,0,29,7,0,15,11.1099996566772,0,0,0,19.894645690918,71.9882278442383,0,6.34293842315674,616.461181640625,0,36.4321517944336,7544.5009765625,0.0322999991476536,42,4.00780725479126,26.9249992370605
93,0,194,0,41,0,0.518191397190094,0.672999978065491,0.52066445350647,0.248721912503242,0,17,33,0,9,11.1099996566772,0,0,0,19.894645690918,71.9882278442383,0,6.34293842315674,616.461181640625,0,36.4321517944336,7544.5009765625,0.0322999991476536,10,4.01856851577759,26.8450012207031
