Human_population,Urban_&_built-up_areas,Elevation,Herbaceous_vegetation,Cultivated_managed_vegetation,Regularly_flooded_vegetation,Culex_q_map,Culicoides_map,A_aegypti,Soil_moisture_AM,Deciduous_broadleaf_trees,Evergreen_broadleaf_trees,Mixed_trees,Grasslands,Shrublands,Savannas,Woody_savannas,Cropland_&_natural_vegetation,Croplands_2019,Banana_harvested_area,Cassava_harvested_area,Cocoa_harvested_area,Coffee_harvested_area,Maize_harvested_area,Soybean_harvested_area,Sugarcane_harvested_area,Cattle_production,Forest_loss_2020-2023,Waterbodies,Precipitation_mean_2023,Annual_mean_temperature_2020
0,0,36,0,0,0,-0.0448211431503296,-0.0160000026226044,0.0594185888767242,-0.0229679346084595,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.21471118927002,0,0,-7.08941650390625,-0.162799999117851,0,0.156625747680664,-0.0566654205322266
0,0,19,0,0,0,-0.0448211431503296,-0.0160000026226044,0.4219810962677,-0.0191343724727631,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.21471118927002,0,0,-7.08941650390625,-0.0604000017046928,0,0.00870800018310547,-0.0983314514160156
19,0,-41,0,30,0,0.211157202720642,0.249000012874603,0.0239840149879456,-0.116630792617798,0,-53,23,0,0,3,0,0,0,3.39034843444824,54.531379699707,0,0.142529532313347,346.784881591797,0,6.27205848693848,4991.51962280273,-0.0918999975547194,0,-0.99410343170166,0.356666564941406
11,0,58,0,12,0,-0.179812163114548,-0.318000011146069,-0.187717169523239,0.0261218249797821,0,11,-23,0,0,-3,0,0,0,-3.39034843444824,-54.531379699707,0,-0.142529532313347,-346.784881591797,0,-6.27205848693848,-2399.28881835938,-0.010499999858439,0,0.081606388092041,-0.173334121704102
0,0,2,0,0,0,0.0448211431503296,0,-0.0338069498538971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,0,1,0,0,-0.0109999999403954,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249838829040527,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-126,0,0,0,-0.0151515230536461,-0.017999991774559,0.353027582168579,0.139668643474579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-297.962683200836,-0.102399997413158,0,2.52392292022705,0.433332443237305
0,0,-7,0,1,0,0,0,0,0.00596249103546143,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499992370605469
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333328247070312
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,-0.00103521347045898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164098739624023,0,0,0,0.0766658782958984
19,0,-2,0,-30,0,0.131597191095352,0.0819999873638153,0.00462836027145386,0.0483092963695526,0,32,-2,0,0,6.09000015258789,0,2.01999998092651,0,5.55966567993164,-14.9332885742188,0,2.30864782631397,-69.9583740234375,0,0.639319896697998,576.50439453125,0.0169999999925494,0,-0.055579662322998,-0.156667709350586
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
