Human_population,Urban_&_built-up_areas,Elevation,Herbaceous_vegetation,Cultivated_managed_vegetation,Regularly_flooded_vegetation,Culex_q_map,Culicoides_map,A_aegypti,Soil_moisture_AM,Deciduous_broadleaf_trees,Evergreen_broadleaf_trees,Mixed_trees,Grasslands,Shrublands,Savannas,Woody_savannas,Cropland_&_natural_vegetation,Croplands_2019,Banana_harvested_area,Cassava_harvested_area,Cocoa_harvested_area,Coffee_harvested_area,Maize_harvested_area,Soybean_harvested_area,Sugarcane_harvested_area,Cattle_production,Forest_loss_2020-2023,Waterbodies,Precipitation_mean_2023,Annual_mean_temperature_2020
0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183353424072266
11,0,-529,0,9,0,0.166740357875824,0.0830000042915344,-0.28175812959671,-0.15402440726757,0,-29,20,3,0,35,5,0,0,2.96585273742676,10.4958782196045,0.269354969263077,0.214681908488274,246.758865356445,27.3795757293701,1.49707221984863,3263.861328125,0.00719999987632036,0,-1.64265155792236,2.27500152587891
0,0,-205,9,19,0,0.228170245885849,-0.129000000655651,-0.077791690826416,-0.123412728309631,14,-66,25,0,0,24,4,10,0,0,0,0,0,0,8.64061737060547,0,965.516418457031,0.199100002646446,0,-0.116247177124023,0.169998168945312
11,0,-460,0,0,0,0.148072242736816,-0.0499999970197678,-0.463012009859085,-0.111887753009796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2895.08349609375,9.99999974737875e-05,0,-0.390309810638428,2.02499961853027
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149993896484375
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25,1,-1,0,0,0,0.205033183097839,0,-9,-26,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666675567626953
0,0,9,2,2,0,0,0,0,0,8,-23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197300002677366,0,0,0.160001754760742
0,0,16,3,-1,0,0,0,0,0,-5,-12,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,0,0,-18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219000009819865,0,0.0226454734802246,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219000009819865,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188333511352539
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188333511352539
14,0,364,0,35,0,0.151439696550369,-0.00600001215934753,0.185293585062027,0.0102280378341675,0,-56,21,2,0,21,0,8,58,0,12.4025440216064,0,2.60474562644958,167.405303955078,1326.18090820312,26.7463607788086,-1550.35668945312,0.000299999992421363,0,-0.259279251098633,-1.87333488464355
0,0,-13,-11,-3,0,0,0,0,0,3,31,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-30,0,194,0,-15,0,-0.191298246383667,-0.182000011205673,-0.0689291059970856,0.0918039530515671,0,47,-31,-3,0,-35,-5,0,2,-2.96585273742676,-3.97849082946777,-0.269354969263077,-0.214681908488274,-225.308204650879,224.394227981567,0.176977396011353,-2624.84088134766,-0.0291000008583069,0,1.25725317001343,-1.3216667175293
0,0,1,0,9,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226454734802246,0
0,0,0,0,0,0,0,0,0,0.0858625173568726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566654205322266
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188333511352539
0,0,-15,0,0,0,0,0,0,-0.0858625173568726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0566654205322266
0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,173,0,17,0,0.146750241518021,-0.264000006020069,0.334760904312134,-0.019891083240509,20,-71,7,1,27,12,13,24,6,-2.96585273742676,-10.4958782196045,-0.269354969263077,1.11155481636524,-126.051483154297,490.735963821411,80.7861461639404,1569.947265625,0.156399995088577,0,1.50266981124878,-1.74666786193848
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,0,6,0,0,0,-0.00519442558288574,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.675048828125,0,0,0,0.193332672119141
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0.00143861770629883,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19,0,-172,0,-18,0,-0.357947610318661,-0.0360000021755695,-0.636451616883278,0.221200227737427,-25,58,-16,0,0,-24,-4,-10,0,0,0,0,0,0,-8.64061737060547,0,-514.966674804688,-0.00179999996908009,0,0.760104656219482,0.939998626708984
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44,0,-230,0,55,0,0.0512796640396118,-0.0249999910593033,0.0118614435195923,-0.0545763373374939,0,-44,-11,5,0,13,1,0,25,0,7.24283218383789,0,-2.45537301898003,96.4134216308594,1093.25073242188,-25.4287483692169,-685.394958496094,-0.00039999998989515,0,1.68398141860962,1.58833312988281
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133335113525391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-8,0,40,0,0,0,0,0,0,-36,-21,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0.00480000002426095,0,0,0
0,0,23,0,11,0,0,0,-0.00519442558288574,0,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.675048828125,0,0,0,0.161666870117188
0,0,23,0,11,0,0,0,-0.00519442558288574,0,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.675048828125,0,0,0,0.161666870117188
0,0,-1,0,-15,0,0,0,0,0,0,18,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219000009819865,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219000009819865,0,0,0
0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
