Human_population,Urban_&_built-up_areas,Elevation,Herbaceous_vegetation,Cultivated_managed_vegetation,Regularly_flooded_vegetation,Culex_q_map,Culicoides_map,A_aegypti,Soil_moisture_AM,Deciduous_broadleaf_trees,Evergreen_broadleaf_trees,Mixed_trees,Grasslands,Shrublands,Savannas,Woody_savannas,Cropland_&_natural_vegetation,Croplands_2019,Banana_harvested_area,Cassava_harvested_area,Cocoa_harvested_area,Coffee_harvested_area,Maize_harvested_area,Soybean_harvested_area,Sugarcane_harvested_area,Cattle_production,Forest_loss_2020-2023,Waterbodies,Precipitation_mean_2023,Annual_mean_temperature_2020
-30,0,-174,0,0,0,-0.0223621279001236,0.00200000405311584,0.442819654941559,0.103948354721069,0,0,0,0,0,0,1.04999995231628,0,0,0,0,0,0,0,0,0,-1955.73294067383,-0.00170000002253801,0,0.65515661239624,0.24333381652832
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1,0,0,0,0,-0.0329999998211861,-0.124654591083527,0,0,0,0,0,0,0,-1.04999995231628,0,0,0,0,0,0,0,0,0,-44.1500625610352,0,0,0.0994200706481934,-0.0466670989990234
0,0,30,0,0,0,0.0170979052782059,0.0779999941587448,-0.0616902112960815,0.0650436878204346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.4936661720276,0,0,2.47930669784546,0.156667709350586
0,0,12,0,0,0,0,0,0,-0.0112593770027161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333213806152344
0,0,0,0,0,0,0,0,0,0.0112593770027161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02166748046875
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-86,0,74,0,0.298932373523712,0.392000004649162,0.178323984146118,-0.25051386654377,0,-74,0,0,0,20,0,30,0,10.0632266998291,93.699951171875,1.29152572154999,0.97712117433548,454.112152099609,0,4.57174730300903,639.612814426422,0.0166999995708466,0,-2.4113597869873,-0.233333587646484
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0112593770027161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02166748046875
