Human_population,Urban_&_built-up_areas,Elevation,Herbaceous_vegetation,Cultivated_managed_vegetation,Regularly_flooded_vegetation,Culex_q_map,Culicoides_map,A_aegypti,Soil_moisture_AM,Deciduous_broadleaf_trees,Evergreen_broadleaf_trees,Mixed_trees,Grasslands,Shrublands,Savannas,Woody_savannas,Cropland_&_natural_vegetation,Croplands_2019,Banana_harvested_area,Cassava_harvested_area,Cocoa_harvested_area,Coffee_harvested_area,Maize_harvested_area,Soybean_harvested_area,Sugarcane_harvested_area,Cattle_production,Forest_loss_2020-2023,Waterbodies,Precipitation_mean_2023,Annual_mean_temperature_2020
39,0,132,0,0,0,0.262284815311432,0.497999995946884,0.719676077365875,0.345373600721359,0,100,0,0,0,9.09000015258789,0,2.01999998092651,0,8.95001411437988,39.5980911254883,0,2.45117735862732,276.826507568359,0,6.91137838363647,5870.52197265625,0.0988999977707863,0,4.21700286865234,26.8833332061768
39,0,132,0,0,0,0.262284815311432,0.497999995946884,0.719676077365875,0.345373600721359,0,100,0,0,0,9.09000015258789,0,2.01999998092651,0,8.95001411437988,39.5980911254883,0,2.45117735862732,276.826507568359,0,6.91137838363647,5870.52197265625,0.0988999977707863,0,4.21700286865234,26.8833332061768
31,0,146,0,12,0,0.262284815311432,0.446000009775162,0.752842009067535,0.268517166376114,0,73,14,0,0,4,1,0,0,20.58717918396,9.42829322814941,0,0.00414674216881394,46.2137794494629,0,0,3138.630859375,0.0410999990999699,16,4.23940181732178,26.9483337402344
20,0,172,0,0,0,0.252443045377731,0.416000008583069,0.357325196266174,0.297064304351807,0,100,0,0,0,3,0,0,0,3.39034843444824,54.531379699707,0,0.142529532313347,346.784881591797,0,6.27205848693848,5294.017578125,0.010499999858439,0,4.25228834152222,26.8666667938232
1,0,131,0,0,0,0.118045084178448,0.063000001013279,0.746147394180298,0.466595619916916,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.935592651367,0,0,4.61970138549805,26.781665802002
1,0,97,0,0,0,0.146959707140923,0.105999998748302,0.802603363990784,0.473218083381653,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65600275993347,0,0,5.45398950576782,26.9316673278809
1,0,70,0,0,0,0.0871422663331032,0.0529999993741512,0.784305691719055,0.447230368852615,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09216260910034,26.8716659545898
1,0,131,0,0,0,0.118045084178448,0.063000001013279,0.746147394180298,0.466595619916916,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.935592651367,0,0,4.61970138549805,26.781665802002
1,0,97,0,0,0,0.146959707140923,0.105999998748302,0.802603363990784,0.473218083381653,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65600275993347,0,0,5.45398950576782,26.9316673278809
1,0,97,0,0,0,0.146959707140923,0.105999998748302,0.802603363990784,0.473218083381653,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65600275993347,0,0,5.45398950576782,26.9316673278809
1,0,124,0,0,0,0.118045084178448,0.063000001013279,0.746147394180298,0.466595619916916,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.935592651367,0,0,4.61970138549805,26.7283325195312
1,0,61,0,0,0,0.0871422663331032,0.0529999993741512,0.784305691719055,0.447230368852615,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09216260910034,26.8466663360596
1,0,97,0,0,0,0.146959707140923,0.112000003457069,0.802603363990784,0.473218083381653,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65600275993347,0,0,5.61058187484741,26.9799995422363
20,0,164,0,25,0,0.252443045377731,0.416000008583069,0.357325196266174,0.297064304351807,0,75,0,0,0,3,0,0,0,3.39034843444824,54.531379699707,0,0.142529532313347,346.784881591797,0,6.27205848693848,5294.017578125,0.00120000005699694,0,4.25228834152222,26.8483333587646
1,0,97,0,0,0,0.146959707140923,0.105999998748302,0.802603363990784,0.473218083381653,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65600275993347,0,0,5.45398950576782,26.9316673278809
1,0,124,0,0,0,0.118045084178448,0.063000001013279,0.746147394180298,0.466595619916916,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.935592651367,0,0,4.61970138549805,26.7283325195312
1,0,61,0,0,0,0.0871422663331032,0.0529999993741512,0.784305691719055,0.447230368852615,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09216260910034,26.8716659545898
1,0,65,0,0,0,0.0871422663331032,0.0529999993741512,0.784305691719055,0.447230368852615,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09216260910034,26.8466663360596
1,0,65,0,0,0,0.0871422663331032,0.0529999993741512,0.784305691719055,0.447230368852615,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09216260910034,26.8466663360596
1,0,25,0,0,0,0.1620963960886,0.172000005841255,0.904839158058167,0.493022054433823,0,93,0,0,0,0,0,0,0,0,0,0.00501772994175553,0.0102245146408677,0,0,0,388.947113037109,0.0104000000283122,52,4.56397104263306,27.1066665649414
69,0,193,0,51,0,0.554776608943939,0.685000002384186,0.666881680488586,0.22098833322525,0,23,23,1,4,10,0,1,12,120.817375183105,69.4063415527344,0,0.114690490067005,398.142791748047,0,10.0408411026001,8801.263671875,0.00669999979436398,23,4.02498006820679,27
1,0,61,0,0,0,0.0871422663331032,0.0529999993741512,0.784305691719055,0.447230368852615,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09216260910034,26.8716659545898
1,0,61,0,0,0,0.0871422663331032,0.0529999993741512,0.784305691719055,0.447230368852615,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09216260910034,26.8716659545898
1,0,97,0,0,0,0.146959707140923,0.105999998748302,0.802603363990784,0.473218083381653,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65600275993347,0,0,5.45398950576782,26.9316673278809
1,0,61,0,0,0,0.0871422663331032,0.0529999993741512,0.784305691719055,0.447230368852615,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09216260910034,26.828332901001
1,0,70,0,0,0,0.0871422663331032,0.0529999993741512,0.784305691719055,0.447230368852615,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09216260910034,26.8716659545898
20,0,82,0,0,0,0.198371678590775,0.381999999284744,0.977203607559204,0.518694818019867,0,100,0,0,0,0,0,0,0,0,0,0.109508961439133,0.00336051359772682,0,0,0,73.1456832885742,0,0,4.12894630432129,26.8733329772949
1,0,97,0,0,0,0.146959707140923,0.105999998748302,0.802603363990784,0.473218083381653,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65600275993347,0,0,5.45398950576782,26.9316673278809
1,0,97,0,0,0,0.146959707140923,0.105999998748302,0.802603363990784,0.473218083381653,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65600275993347,0,0,5.45398950576782,26.9316673278809
1,0,97,0,0,0,0.146959707140923,0.105999998748302,0.802603363990784,0.473218083381653,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65600275993347,0,0,5.45398950576782,26.9316673278809
1,0,124,0,0,0,0.118045084178448,0.063000001013279,0.746147394180298,0.466595619916916,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.935592651367,0,0,4.61970138549805,26.7283325195312
1,0,61,0,0,0,0.0871422663331032,0.0529999993741512,0.784305691719055,0.447230368852615,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09216260910034,26.8716659545898
