Human_population,Urban_&_built-up_areas,Elevation,Herbaceous_vegetation,Cultivated_managed_vegetation,Regularly_flooded_vegetation,Culex_q_map,Culicoides_map,A_aegypti,Soil_moisture_AM,Deciduous_broadleaf_trees,Evergreen_broadleaf_trees,Mixed_trees,Grasslands,Shrublands,Savannas,Woody_savannas,Cropland_&_natural_vegetation,Croplands_2019,Banana_harvested_area,Cassava_harvested_area,Cocoa_harvested_area,Coffee_harvested_area,Maize_harvested_area,Soybean_harvested_area,Sugarcane_harvested_area,Cattle_production,Forest_loss_2020-2023,Waterbodies,Precipitation_mean_2023,Annual_mean_temperature_2020
1,0,208,0,0,0,0.103399872779846,0.166999995708466,0.590084433555603,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.497955322266,0.00899999961256981,0,5.24639177322388,26.6949996948242
1,0,209,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5416660308838
1,0,223,0,0,0,0.122435733675957,0.185000002384186,0.512846231460571,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.950622558594,0,0,5.08115768432617,26.6133327484131
1,0,207,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5416660308838
1,0,207,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5416660308838
1,0,338,0,39,0,0.525502502918243,0.25,0.520913898944855,0.184344619512558,0,39,23,0,0,35,0,1,0,2.87367153167725,48.7490119934082,0.272237867116928,59.1294937133789,601.9443359375,14.4368562698364,3.89714932441711,5998.92529296875,0.0485000014305115,0,4.0711030960083,26.2700004577637
1,0,209,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.611665725708
1,0,338,0,39,0,0.525502502918243,0.25,0.520913898944855,0.184344619512558,0,39,23,0,0,35,0,1,0,2.87367153167725,48.7490119934082,0.272237867116928,59.1294937133789,601.9443359375,14.4368562698364,3.89714932441711,5998.92529296875,0.0485000014305115,0,4.0711030960083,26.2700004577637
1,0,105,0,0,0,0.169175565242767,0.0419999994337559,0.747196614742279,0.457447499036789,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4315795898438,0,0,3.97761917114258,26.9150009155273
1,0,343,0,47,0,0.525502502918243,0.25,0.4947769343853,0.184344619512558,0,24,28,0,0,35,0,1,0,2.49220061302185,43.225757598877,0.435223072767258,94.529541015625,522.889282226562,12.5408229827881,4.87104988098145,5349.57666015625,0.0485000014305115,0,4.0711030960083,26.2700004577637
1,0,105,0,0,0,0.169175565242767,0.0419999994337559,0.747196614742279,0.457447499036789,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4315795898438,0,0,3.97761917114258,26.9150009155273
1,0,209,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5416660308838
1,0,161,0,0,0,0.10773441195488,0.061999998986721,0.490766495466232,0.430509090423584,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967.611145019531,0.0031999999191612,0,4.91052293777466,26.9400005340576
1,0,161,0,0,0,0.10773441195488,0.061999998986721,0.490766495466232,0.430509090423584,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967.611145019531,0.0031999999191612,0,4.91052293777466,26.9400005340576
1,0,209,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5416660308838
1,0,161,0,0,0,0.10773441195488,0.061999998986721,0.490766495466232,0.430509090423584,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967.611145019531,0.0031999999191612,0,4.91052293777466,26.9400005340576
1,0,105,0,0,0,0.169175565242767,0.0419999994337559,0.747196614742279,0.457447499036789,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4315795898438,0,0,3.97761917114258,26.9150009155273
1,0,219,0,0,0,0.103399872779846,0.108999997377396,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.06037330627441,26.4150009155273
1,0,209,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.611665725708
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5233325958252
1,0,108,0,0,0,0.169175565242767,0.0419999994337559,0.747196614742279,0.457447499036789,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4315795898438,0,0,3.97761917114258,26.9150009155273
1,0,167,0,0,0,0.194859400391579,0.39300000667572,0.745115697383881,0.38690397143364,0,100,0,0,0,0,0,0,0,12.8904809951782,17.1383266448975,0,0,106.424705505371,0,2.49517560005188,2982.27197265625,0.0320000015199184,0,4.31635475158691,26.8716659545898
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5566673278809
1,0,167,0,0,0,0.194859400391579,0.39300000667572,0.745115697383881,0.38690397143364,0,100,0,0,0,0,0,0,0,12.8904809951782,17.1383266448975,0,0,106.424705505371,0,2.49517560005188,2982.27197265625,0.0320000015199184,0,4.31635475158691,26.8716659545898
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5566673278809
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5566673278809
1,0,161,0,0,0,0.10773441195488,0.061999998986721,0.490766495466232,0.430509090423584,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967.611145019531,0.0031999999191612,0,4.91052293777466,27.0149993896484
1,0,161,0,0,0,0.10773441195488,0.061999998986721,0.490766495466232,0.430509090423584,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967.611145019531,0,0,4.91052293777466,27.0149993896484
1,0,207,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5416660308838
1,0,107,0,0,0,0.169175565242767,0.0419999994337559,0.747196614742279,0.480910867452621,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4315795898438,0,0,3.97761917114258,26.8633327484131
1,0,161,0,0,0,0.10773441195488,0.061999998986721,0.490766495466232,0.430509090423584,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967.611145019531,0.0031999999191612,0,4.91052293777466,27.0149993896484
1,0,108,0,0,0,0.169175565242767,0.0419999994337559,0.747196614742279,0.457447499036789,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4315795898438,0,0,3.97761917114258,26.9183330535889
1,0,105,0,0,0,0.169175565242767,0.0419999994337559,0.747196614742279,0.457447499036789,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4315795898438,0,0,3.97761917114258,26.9150009155273
1,0,167,0,0,0,0.194859400391579,0.39300000667572,0.745115697383881,0.38690397143364,0,100,0,0,0,0,0,0,0,12.8904809951782,17.1383266448975,0,0,106.424705505371,0,2.49517560005188,2982.27197265625,0.0320000015199184,0,4.31635475158691,26.8716659545898
20,0,89,0,0,0,0.226499989628792,0.108999997377396,0.723981976509094,0.332010447978973,0,100,0,0,0,0,0,6.59000015258789,0,0,0,0.00327000045217574,0.148256331682205,0,0,0,149.31999206543,0.000899999984540045,0,5.68051767349243,26.625
1,0,158,2,7,0,0.305981814861298,0.435000002384186,0.792920351028442,0.309615880250931,0,56,21,0,14,1,2,0,0,25.0160827636719,39.5379333496094,0,0.0311720259487629,192.481475830078,0,49.0907135009766,1185.71203613281,0.0364999994635582,0,4.52729511260986,26.9033336639404
1,0,158,2,7,0,0.305981814861298,0.435000002384186,0.792920351028442,0.309615880250931,0,56,21,0,14,1,2,0,0,25.0160827636719,39.5379333496094,0,0.0311720259487629,192.481475830078,0,49.0907135009766,1185.71203613281,0.0364999994635582,0,4.52729511260986,26.9033336639404
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5566673278809
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5566673278809
20,0,82,0,0,0,0.226499989628792,0.108999997377396,0.723981976509094,0.332010447978973,0,100,0,0,0,0,0,6.59000015258789,0,0,0,0.00327000045217574,0.148256331682205,0,0,0,149.31999206543,0.000899999984540045,0,5.68051767349243,26.625
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5566673278809
1,0,158,2,7,0,0.305981814861298,0.435000002384186,0.792920351028442,0.309615880250931,0,56,21,0,14,1,2,0,0,25.0160827636719,39.5379333496094,0,0.0311720259487629,192.481475830078,0,49.0907135009766,1185.71203613281,0.0364999994635582,0,4.52729511260986,26.9033336639404
1,0,52,0,0,0,0.139947474002838,0.129999995231628,0.77620929479599,0.433150857686996,0,100,0,0,0,0,0,0,0,0,0,0,0.0816877335309982,0,0,0,69.8740158081055,0.00249999994412065,0,6.7209153175354,26.783332824707
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5566673278809
1,0,158,2,7,0,0.305981814861298,0.435000002384186,0.792920351028442,0.309615880250931,0,56,21,0,14,1,2,0,0,25.0160827636719,39.5379333496094,0,0.0311720259487629,192.481475830078,0,49.0907135009766,1185.71203613281,0.0364999994635582,0,4.52729511260986,26.9033336639404
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5566673278809
1,0,52,0,0,0,0.139947474002838,0.129999995231628,0.77620929479599,0.433150857686996,0,100,0,0,0,0,0,0,0,0,0,0,0.0816877335309982,0,0,0,69.8740158081055,0.00249999994412065,0,6.7209153175354,26.783332824707
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5566673278809
1,0,162,0,0,0,0.194859400391579,0.39300000667572,0.634092450141907,0.393893957138062,0,100,0,0,0,0,0,0,0,1.41548049449921,0,0,0.00516657624393702,3.22300553321838,0,0,1007.92858886719,0.00100000004749745,0,4.30561542510986,26.8299999237061
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.611665725708
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5233325958252
20,0,111,0,0,0,0.226499989628792,0.108999997377396,0.876237213611603,0.332010447978973,0,100,0,0,0,0,0,6.59000015258789,0,0,0,0,0,0,0,0,149.266479492188,0.000899999984540045,0,5.68051767349243,26.7416667938232
1,0,160,0,0,0,0.194859400391579,0.39300000667572,0.714553356170654,0.38690397143364,0,90,10,0,0,0,0,0,0,6.32077598571777,2.84953284263611,0,0,26.0444774627686,0,0,1212.80700683594,0.0320000015199184,0,4.31635475158691,27.0033340454102
1,0,160,0,0,0,0.194859400391579,0.39300000667572,0.714553356170654,0.38690397143364,0,90,10,0,0,0,0,0,0,6.32077598571777,2.84953284263611,0,0,26.0444774627686,0,0,1212.80700683594,0.0320000015199184,0,4.31635475158691,27.0033340454102
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5566673278809
20,0,82,0,0,0,0.226499989628792,0.108999997377396,0.723981976509094,0.332010447978973,0,100,0,0,0,0,0,6.59000015258789,0,0,0,0.00327000045217574,0.148256331682205,0,0,0,149.31999206543,0.000899999984540045,0,5.68051767349243,26.625
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5566673278809
1,0,58,0,0,0,0.108676627278328,0.0649999976158142,0.850478529930115,0.478851675987244,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4273910522461,0,0,6.99808645248413,26.7783336639404
20,0,82,0,0,0,0.226499989628792,0.108999997377396,0.723981976509094,0.332010447978973,0,100,0,0,0,0,0,6.59000015258789,0,0,0,0.00327000045217574,0.148256331682205,0,0,0,149.31999206543,0.000899999984540045,0,5.68051767349243,26.6416664123535
20,0,110,0,0,0,0.226499989628792,0.108999997377396,0.876237213611603,0.332010447978973,0,100,0,0,0,0,0,6.59000015258789,0,0,0,0,0,0,0,0,149.266479492188,0.000899999984540045,0,5.5601167678833,26.7416667938232
1,0,58,0,0,0,0.108676627278328,0.0649999976158142,0.850478529930115,0.478851675987244,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4273910522461,0,0,6.99808645248413,26.7516670227051
1,0,207,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5416660308838
20,0,186,0,0,0,0.314557075500488,0.391000002622604,0.540693998336792,0.308626145124435,0,100,0,0,0,3,0,0,0,3.96898293495178,61.3979835510254,0,0.203584641218185,404.031860351562,0,6.85939168930054,5404.97216796875,0.00689999992027879,0,4.30986166000366,26.6316661834717
1,0,61,0,0,0,0.108676627278328,0.0649999976158142,0.850478529930115,0.478851675987244,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4273910522461,0,0,6.99808645248413,26.7783336639404
1,0,158,2,7,0,0.305981814861298,0.435000002384186,0.792920351028442,0.309615880250931,0,56,21,0,14,1,2,0,0,25.0160827636719,39.5379333496094,0,0.0311720259487629,192.481475830078,0,49.0907135009766,1185.71203613281,0.0364999994635582,0,4.52729511260986,26.9033336639404
1,0,170,0,0,0,0.104178130626678,0.068000003695488,0.824208676815033,0.442283540964127,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.334060668945,0,0,6.39088439941406,26.9183330535889
1,0,44,0,0,0,0.142887249588966,0.0860000029206276,0.968346297740936,0.439356803894043,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65720653533936,0,4,5.14461994171143,26.7983341217041
1,0,105,0,0,0,0.205180540680885,0.128000006079674,0.595981538295746,0.563936233520508,0,100,0,0,0,0,0,3.70000004768372,0,0,0,0.00605929456651211,0.274718254804611,0,0,0,142.264511108398,0.0342999994754791,2,5.56967306137085,26.7733325958252
1,0,219,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.409861534833908,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.611665725708
1,0,209,0,0,0,0.103399872779846,0.166999995708466,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5233325958252
1,0,162,0,0,0,0.194859400391579,0.39300000667572,0.782575190067291,0.393893957138062,0,100,0,0,0,0,0,0,0,45.2521133422852,21.6505069732666,0,0.0284292306751013,100.373107910156,0,2.10549235343933,1956.1474609375,0.00100000004749745,0,4.30561542510986,26.8333339691162
1,0,334,0,39,0,0.525502502918243,0.25,0.520913898944855,0.184344619512558,0,38,23,0,0,35,0,1,0,2.87367153167725,48.7490119934082,0.272237867116928,59.1294937133789,601.9443359375,14.4368562698364,3.89714932441711,5998.92529296875,0.00100000004749745,0,4.0711030960083,26.3150005340576
1,0,334,0,39,0,0.525502502918243,0.25,0.520913898944855,0.184344619512558,0,38,23,0,0,35,0,1,0,2.87367153167725,48.7490119934082,0.272237867116928,59.1294937133789,601.9443359375,14.4368562698364,3.89714932441711,5998.92529296875,0.00100000004749745,0,4.0711030960083,26.1450004577637
1,0,334,0,39,0,0.525502502918243,0.25,0.520913898944855,0.184344619512558,0,38,23,0,0,35,0,1,0,2.87367153167725,48.7490119934082,0.272237867116928,59.1294937133789,601.9443359375,14.4368562698364,3.89714932441711,5998.92529296875,0.00100000004749745,0,4.0711030960083,26.3150005340576
1,0,219,0,0,0,0.103399872779846,0.108999997377396,0.334332257509232,0.413695096969604,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.945129394531,0,0,5.24639177322388,26.5233325958252
1,0,331,6,34,0,0.525502502918243,0.25,0.520913898944855,0.184344619512558,0,49,11,0,0,35,0,1,0,2.87367153167725,48.7490119934082,0.272237867116928,59.1294937133789,601.9443359375,14.4368562698364,3.89714932441711,5998.92529296875,0.00100000004749745,0,4.0711030960083,26.1450004577637
1,0,334,0,39,0,0.525502502918243,0.25,0.520913898944855,0.184344619512558,0,38,23,0,0,35,0,1,0,1.86602127552032,34.4193496704102,0.272237867116928,59.1294937133789,390.82373046875,9.37340259552002,1.69841074943542,5998.92529296875,0.00100000004749745,0,4.0711030960083,26.1849994659424
