time	diffusion_coefficient	number_of_branches
2015.75171398298	21770.8582989021	0.02
2015.7948432362	23573.0921357248	0.02
2015.83797248942	25375.5823578289	0.02
2015.88110174263	27178.3199143284	0.02
2015.92423099585	14502.7566412743	0.04
2015.96736024907	15425.9496612127	0.04
2016.01048950229	16349.2519760136	0.04
2016.05361875551	17272.6590561968	0.04
2016.09674800872	12139.1399920426	0.06
2016.13987726194	12765.3459572492	0.06
2016.18300651516	10049.2762012679	0.08
2016.22613576838	10303.3031157921	0.1
2016.2692650216	13616.3679054079	0.11
2016.31239427482	12241.357152156	0.11
2016.35552352803	11003.7164969738	0.11
2016.39865278125	9889.47110771974	0.13
2016.44178203447	8895.3759445412	0.13
2016.48491128769	7999.60911394051	0.13
2016.52804054091	5995.20962805254	0.15
2016.57116979412	4627.16280621465	0.17
2016.61429904734	4171.60844801045	0.17
2016.65742830056	2933.26088031785	0.21
2016.70055755378	2663.98142641949	0.21
2016.743686807	2184.87103182384	0.23
2016.78681606021	2005.55794337116	0.23
2016.82994531343	4246.6462887027	0.27
2016.87307456665	7050.07028224458	0.29
2016.91620381987	4517.12740707707	0.33
2016.95933307309	2984.51558866929	0.37
2017.00246232631	2481.6546599066	0.37
2017.04559157952	1913.56397132383	0.41
2017.08872083274	1689.78945958569	0.41
2017.13185008596	1480.91328214131	0.43
2017.17497933918	1297.52064852582	0.47
2017.2181085924	1022.54807594403	0.52
2017.26123784561	989.046827370882	0.58
2017.30436709883	939.512872432737	0.61
2017.34749635205	906.332103030287	0.67
2017.39062560527	996.215283631688	0.69
2017.43375485849	1017.44943663816	0.72
2017.4768841117	1082.76121321628	0.76
2017.52001336492	1132.46543989179	0.82
2017.56314261814	1220.62602736048	0.82
2017.60627187136	1299.13009120218	0.84
2017.64940112458	1351.69347605325	0.81
2017.6925303778	1470.93616964295	0.81
2017.73565963101	1453.59547302648	0.82
2017.77878888423	1518.3431345321	0.84
2017.82191813745	1595.8394145543	0.83
2017.86504739067	2711.39775272271	0.9
2017.90817664389	5007.64335898875	0.94
2017.9513058971	7824.04796922165	0.9
2017.99443515032	10186.1949017852	0.92
2018.03756440354	9533.28390391717	1.07
2018.08069365676	47322.9402633791	1.11
2018.12382290998	24559.0563434684	1.12
2018.1669521632	16500.2818468451	1.14
2018.21008141641	13552.3869041073	1.09
2018.25321066963	11228.924228548	1.06
2018.29633992285	9929.24070054702	1.06
2018.33946917607	9011.395275149	1.07
2018.38259842929	8211.35613405326	1.05
2018.4257276825	7955.45391806186	1.05
2018.46885693572	7615.77703817171	1.02
2018.51198618894	7414.43022417845	0.97
2018.55511544216	7946.36288459847	0.99
2018.59824469538	15221.0421669758	1.13
2018.6413739486	23294.318884849	1.13
2018.68450320181	17497.6755967034	1.17
2018.72763245503	13617.6056723125	1.22
2018.77076170825	11687.027841448	1.23
2018.81389096147	10864.5465364464	1.2
2018.85702021469	10844.097515141	1.16
2018.9001494679	10065.5963733721	1.1
2018.94327872112	9107.6190794239	1.12
2018.98640797434	8565.80689458584	1.12
2019.02953722756	8081.44530191484	1.02
2019.07266648078	7558.55828364277	0.97
2019.11579573399	7006.46754074278	0.96
2019.15892498721	6585.0479436377	0.96
2019.20205424043	7214.6390406018	0.91
2019.24518349365	7122.27819274194	0.96
2019.28831274687	7099.02660891432	1
2019.33144200009	7360.7124424583	0.95
2019.3745712533	7998.5225353412	0.94
2019.41770050652	8039.57841465653	0.93
2019.46082975974	8358.7860777758	0.94
2019.50395901296	9026.56647624951	0.96
2019.54708826618	9833.87933213579	0.96
2019.59021751939	10775.6588050573	0.86
2019.63334677261	9895.70253098896	0.88
2019.67647602583	8886.31091028141	0.85
2019.71960527905	8827.73912805185	0.81
2019.76273453227	9523.50068691554	0.8
2019.80586378549	9367.60105409587	0.8
2019.8489930387	9280.44370079185	0.8
2019.89212229192	9255.3788306854	0.8
2019.93525154514	9702.6792870416	0.76
2019.97838079836	9962.23056532136	0.72
2020.02151005158	10018.8152372217	0.68
2020.06463930479	10104.1188480583	0.66
2020.10776855801	8924.5783252406	0.64
2020.15089781123	8246.56494370076	0.62
2020.19402706445	10402.5437553647	0.63
2020.23715631767	9072.55144943814	0.64
2020.28028557088	7862.31536225746	0.57
2020.3234148241	6585.72469285962	0.59
2020.36654407732	5750.7798901641	0.62
2020.40967333054	4967.40125815597	0.63
2020.45280258376	7977.6771443439	0.56
2020.49593183698	7122.76095677699	0.5
2020.53906109019	7723.02286047961	0.52
2020.58219034341	7968.7807241605	0.52
2020.62531959663	8083.06474222658	0.49
2020.66844884985	8421.08564877499	0.46
2020.71157810307	8571.6474914069	0.43
2020.75470735628	8008.56621748761	0.43
2020.7978366095	7660.69762109972	0.51
2020.84096586272	8405.57916103051	0.51
2020.88409511594	10872.1682836373	0.54
2020.92722436916	10262.8356981678	0.59
2020.97035362238	8816.37086681178	0.71
2021.01348287559	8633.48999942046	0.74
2021.05661212881	8613.1008462014	0.8
2021.09974138203	10192.3036741493	0.8
2021.14287063525	12054.59850511	0.83
2021.18599988847	12388.6054318233	0.91
2021.22912914168	13068.027357802	0.88
2021.2722583949	13150.3149032277	0.91
2021.31538764812	13024.0791208521	0.91
2021.35851690134	12757.6571008751	0.91
2021.40164615456	12102.4215092712	0.89
2021.44477540777	12950.5360674968	0.92
2021.48790466099	13778.6151855304	0.92
2021.53103391421	11875.2470428466	0.96
2021.57416316743	12935.5190233949	0.9
2021.61729242065	13488.2281568619	0.93
2021.66042167387	14307.3354863982	1.01
2021.70355092708	16008.4363202487	1.23
2021.7466801803	15332.804859295	1.38
2021.78980943352	16776.6402021398	1.46
2021.83293868674	17144.224207872	1.63
2021.87606793996	20888.5741491495	1.87
2021.91919719317	24123.7877717835	1.97
2021.96232644639	26176.1570379831	2.1
2022.00545569961	31784.7129470918	2.36
2022.04858495283	34213.2680377237	2.6
2022.09171420605	38380.2701600918	2.92
2022.13484345927	38292.6311395281	3.73
2022.17797271248	48302.3142493295	4.24
2022.2211019657	57769.4838811435	5.42
2022.26423121892	66827.8428668531	7.46
2022.30736047214	80965.6767322255	10.76
2022.35048972536	88503.104321529	15.43
2022.39361897857	101854.928836518	18.57
2022.43674823179	114670.605145843	22.82
2022.47987748501	248152.700372944	30.93
2022.52300673823	469347.084976378	42.64
2022.56613599145	818897.219844497	54.09
2022.60926524466	1230200.85502238	70.34
2022.65239449788	1659095.65401514	91.29
2022.6955237511	2672875.0949244	112.82
2022.73865300432	2937666.00639176	121.72
2022.78178225754	3258323.00364071	125.84
2022.82491151076	3491968.85179997	127.84
2022.86804076397	3867944.5748002	129.42
2022.91117001719	3930675.44601082	129.89
2022.95429927041	3979376.68574622	130.49
2022.99742852363	4011696.67993022	130.92
2023.04055777685	4032480.57427474	131.54
2023.08368703006	4044287.31863688	132.16
2023.12681628328	4036852.80513802	133.08
2023.1699455365	4007627.00382606	134.05
2023.21307478972	3959227.72590406	135.65
2023.25620404294	3893793.70146075	137.1
2023.29933329616	3832762.87315942	140.38
2023.34246254937	3793370.63638159	143.68
2023.38559180259	3717804.58439888	163.44
2023.42872105581	3429416.13300124	244.62
2023.47185030903	3310175.4009668	450.45
2023.51497956225	3067275.84045815	654.4
2023.55810881546	4420708.26697806	717.65
2023.60123806868	5595910.94488552	773.66
