time	diffusion_coefficient	number_of_branches
2015.75171398298	21770.8582989021	0
2015.7948432362	23573.0921357248	0
2015.83797248942	25375.5823578289	0
2015.88110174263	27178.3199143284	0
2015.92423099585	14502.7566412743	0
2015.96736024907	15425.9496612127	0
2016.01048950229	16349.2519760136	0
2016.05361875551	17272.6590561968	0
2016.09674800872	196.931900934711	0
2016.13987726194	240.106525522721	0
2016.18300651516	185.595204015779	0
2016.22613576838	222.886770790866	0
2016.2692650216	150.734147500597	0
2016.31239427482	182.145675829315	0
2016.35552352803	226.149362488473	0
2016.39865278125	337.754171983595	0
2016.44178203447	502.76476964594	0
2016.48491128769	585.446189236924	0
2016.52804054091	483.904270940272	0
2016.57116979412	370.613107528364	0
2016.61429904734	402.024050558392	0
2016.65742830056	366.790432345861	0
2016.70055755378	398.112453013074	0
2016.743686807	325.058511010589	0
2016.78681606021	386.642724485292	0
2016.82994531343	448.231207425639	0
2016.87307456665	509.823951493749	0
2016.91620381987	416.153437719175	0
2016.95933307309	440.139728845771	0
2017.00246232631	533.925705870178	0
2017.04559157952	487.654452812092	0
2017.08872083274	515.953915348539	0
2017.13185008596	562.64613022088	0
2017.17497933918	397.47298999652	0
2017.2181085924	331.55824804806	0
2017.26123784561	406.260559901757	0
2017.30436709883	540.793421767941	0
2017.34749635205	547.325271708429	0
2017.39062560527	633.83638086851	0
2017.43375485849	691.264749137759	0
2017.4768841117	826.982255742627	0
2017.52001336492	792.1564752511	0
2017.56314261814	869.718767438985	0
2017.60627187136	870.21050668119	0
2017.64940112458	789.35533229876	0
2017.6925303778	877.2322581801	0
2017.73565963101	880.443373200583	0
2017.77878888423	1010.67619154437	0
2017.82191813745	1103.62733242239	0
2017.86504739067	1018.55043649157	0
2017.90817664389	843.19228916422	0
2017.9513058971	886.299558478378	0
2017.99443515032	794.774147161285	0
2018.03756440354	458.418835227358	0
2018.08069365676	544.757129760336	0
2018.12382290998	619.367714637615	0
2018.1669521632	687.559386069018	0
2018.21008141641	759.042788869401	0
2018.25321066963	871.735300329665	0
2018.29633992285	884.967965101557	0
2018.33946917607	957.906728031957	0
2018.38259842929	1053.34992009143	0
2018.4257276825	1164.12301296876	0
2018.46885693572	1263.17354598726	0
2018.51198618894	1286.40564366542	0
2018.55511544216	1473.24580462499	0
2018.59824469538	1351.34801284899	0
2018.6413739486	1683.28862338115	0
2018.68450320181	1788.29894608866	0
2018.72763245503	1457.12179910712	0
2018.77076170825	1452.3464473038	0
2018.81389096147	1700.09459579061	0
2018.85702021469	1675.29403873859	0
2018.9001494679	2178.32564495928	0
2018.94327872112	2458.33682018194	0
2018.98640797434	2136.29563157767	0
2019.02953722756	1626.81322482912	0
2019.07266648078	1626.45332986995	0
2019.11579573399	1524.4444186523	0
2019.15892498721	1659.06783730357	0
2019.20205424043	1976.34079752231	0
2019.24518349365	1963.76933328845	0
2019.28831274687	1988.04797430789	0
2019.33144200009	2161.96923559308	0
2019.3745712533	2310.39437712866	0
2019.41770050652	2555.17203369151	0
2019.46082975974	2002.18336415351	0
2019.50395901296	2496.75982886281	0
2019.54708826618	2790.35991228081	0
2019.59021751939	3118.3609664528	0
2019.63334677261	2647.93610432509	0
2019.67647602583	2484.60087345772	0
2019.71960527905	2592.34602326323	0
2019.76273453227	2646.59059917924	0
2019.80586378549	2926.68613336355	0
2019.8489930387	3334.77239573825	0
2019.89212229192	3829.05513626304	0
2019.93525154514	4286.60504871803	0
2019.97838079836	4595.98343083422	0
2020.02151005158	4809.41688112249	0
2020.06463930479	4733.67500096359	0
2020.10776855801	4782.11845119531	0
2020.15089781123	4745.31113730071	0
2020.19402706445	4884.94698689084	0
2020.23715631767	3166.32764383561	0
2020.28028557088	2144.84984508793	0
2020.3234148241	1146.57704565059	0
2020.36654407732	958.993471955804	0
2020.40967333054	630.704299717088	0
2020.45280258376	820.225391167557	0
2020.49593183698	883.605418594426	0
2020.53906109019	1985.92477993683	0
2020.58219034341	2717.57320512589	0
2020.62531959663	3163.26534616675	0
2020.66844884985	4431.20692328291	0
2020.71157810307	4945.54375782656	0
2020.75470735628	3830.53097967459	0
2020.7978366095	4983.21302780814	0
2020.84096586272	6039.5803569463	0
2020.88409511594	6712.78760605198	0
