,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0.2,5.7,0.2,6.1
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,0.1,6.7,0.7,1.4
Herbaceous_vegetation,0.2,4.3,0.5,1.9
Cultivated_managed_vegetation,0,99,0.1,10.1
Regularly_flooded_vegetation,0.3,3.5,0.9,1.1
A_aegypti,24,0,15.7,0.1
Deciduous_broadleaf_trees,0,49,0.2,4.9
Evergreen_broadleaf_trees,99,0,6.7,0.1
Mixed_trees,0.3,3,0.6,1.7
Grasslands,0.6,1.6,2.2,0.4
Shrublands,0.1,13.3,0.3,3.2
Savannas,0.3,3.8,0.6,1.6
Woody_savannas,0.6,1.6,1.7,0.6
Cropland_&_natural_vegetation,1.3,0.8,4,0.2
Croplands_2019,0.4,2.7,0.7,1.5
Banana_harvested_area,0.1,19,0,Inf
Cassava_harvested_area,0.2,5.7,0.1,15.7
Cocoa_harvested_area,0.2,5.7,0.1,19
Coffee_harvested_area,0.2,5.7,0,49
Maize_harvested_area,0.1,9,0.1,10.1
Soybean_harvested_area,0.3,3.2,0.7,1.5
Sugarcane_harvested_area,0.1,6.7,0.5,2
Cattle_production,0.1,8.1,0,24
Forest_loss_2020-2023,6.7,0.1,1.3,0.8
Waterbodies,0.1,19,0.2,5.2
Precipitation_mean_2023,5.7,0.2,4.3,0.2
Annual_mean_temperature_2020,1,1,1,1
