,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0,Inf,0,Inf
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,9,0.1,4.3,0.2
Herbaceous_vegetation,0.6,1.6,0.7,1.4
Cultivated_managed_vegetation,0.2,4.6,0.2,4.3
Regularly_flooded_vegetation,0.9,1.1,1,1
A_aegypti,0,Inf,0,Inf
Deciduous_broadleaf_trees,0.9,1.1,1.4,0.7
Evergreen_broadleaf_trees,Inf,0,49,0
Mixed_trees,1.1,0.9,1.6,0.6
Grasslands,0.6,1.6,0.8,1.3
Shrublands,0,24,0.1,10.1
Savannas,0.3,3.2,0.9,1.2
Woody_savannas,0.4,2.3,1.1,0.9
Cropland_&_natural_vegetation,0.6,1.7,0.5,2.1
Croplands_2019,3,0.3,3.5,0.3
Banana_harvested_area,0,32.3,0,32.3
Cassava_harvested_area,0.2,5.7,0.1,11.5
Cocoa_harvested_area,0.1,19,0,99
Coffee_harvested_area,0.4,2.2,0.3,3.3
Maize_harvested_area,0.2,4.3,0.4,2.6
Soybean_harvested_area,6.1,0.2,3.5,0.3
Sugarcane_harvested_area,0.3,3.3,0.3,3.3
Cattle_production,1,1,1,1
Forest_loss_2020-2023,3.5,0.3,3.3,0.3
Waterbodies,0.1,9,0.1,15.7
Precipitation_mean_2023,3,0.3,2.8,0.4
Annual_mean_temperature_2020,2.2,0.4,3,0.3
