time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,1
2018.0975,1,1
2018.1625,1,1
2018.2275,1,1
2018.2925,1,1
2018.3575,1,1
2018.4225,1,1
2018.4875,1,1
2018.5525,1,1
2018.6175,1,1
2018.6825,1,1
2018.7475,1,1
2018.8125,1,1
2018.8775,1,1
2018.9425,1,1
2019.0075,1,1
2019.0725,1,1
2019.1375,1,1
2019.2025,1,1
2019.2675,1,1
2019.3325,1,1
2019.3975,1,1
2019.4625,1,1
2019.5275,1,1
2019.5925,1,1
2019.6575,1,1
2019.7225,1,1
2019.7875,1,1
2019.8525,1,1
2019.9175,1,1
2019.9825,1,1
2020.0475,1,1
2020.1125,1,1
2020.1775,1,1
2020.2425,1,1
2020.3075,1,1
2020.3725,1,1
2020.4375,1,1
2020.5025,1,1
2020.5675,1,1
2020.6325,1,1
2020.6975,1,1
2020.7625,1,1
2020.8275,1,1
2020.8925,1,1
2020.9575,1,1
2021.0225,1,1
2021.0875,1,1
2021.1525,1,1
2021.2175,1,1
2021.2825,1,1
2021.3475,1,1
2021.4125,1,1
2021.4775,1,1
2021.5425,1,1
2021.6075,1,1
2021.6725,1,1
2021.7375,1,1
2021.8025,1,1
2021.8675,1,1
2021.9325,1,1
2021.9975,1,1
2022.0625,1,1
2022.1275,1,1
2022.1925,1,1
2022.2575,1,1
2022.3225,1,1
2022.3875,1,1
2022.4525,1,1
2022.5175,1,1
2022.5825,1,1
2022.6475,1,1
2022.7125,1,2.10714285714286
2022.7775,1,1.96875
2022.8425,1,1
2022.9075,1,6.74193548387097
2022.9725,1.18181818181818,4.11392405063291
2023.0375,1,1
2023.1025,1,1
2023.1675,1,1
2023.2325,1,1
2023.2975,1,3.51282051282051
2023.3625,1,5.72222222222222
2023.4275,1,17
2023.4925,1,17
2023.5575,1,16.25
2023.6225,3.35294117647059,18.7777777777778
2023.6875,1,17.6666666666667
2023.7525,3.22222222222222,14.8461538461538
2023.8175,4.125,12.1538461538462
2023.8825,11.2957746478873,15.9677419354839
2023.9475,19.2178217821782,21
2024.0125,13.4851994851995,17.6628787878788
2024.0775,6.42732558139534,9.93765586034912
2024.1425,3.51393188854489,7.61676646706587
2024.2075,3.03900709219858,4.5974025974026
2024.2725,1.27167630057803,2.22297297297297
2024.3375,1,1
2024.4025,NA,NA
2024.4675,NA,NA
