time,Brazil_grasslands_crop_mask
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1
2022.3225,1
2022.3875,1
2022.4525,1
2022.5175,1
2022.5825,1
2022.6475,1
2022.7125,1
2022.7775,1
2022.8425,1
2022.9075,1.07597850606992
2022.9725,1.12106249843325
2023.0375,1.03637495432519
2023.1025,1.07118935752333
2023.1675,1.05770624953366
2023.2325,1.06889260203018
2023.2975,1.10437499980132
2023.3625,1.06522916605075
2023.4275,1.23847338765943
2023.4925,1.72166665395101
2023.5575,2.22199997901917
2023.6225,2.2509090683677
2023.6875,2.27719922845525
2023.7525,2.1486019543127
2023.8175,2.04086954720354
2023.8825,2.62359601924442
2023.9475,2.77380861069294
2024.0125,2.19719943282441
2024.0775,1.8108880741854
2024.1425,2.00488234117408
2024.2075,1.81144067315586
2024.2725,1.33285593350166
2024.3375,1.77777777777778
2024.4025,NA
2024.4675,NA
