time,Brazil_savannas_crop_mask
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1
2022.3225,1
2022.3875,1
2022.4525,1
2022.5175,1
2022.5825,1.07194569747372
2022.6475,1.06933333178361
2022.7125,1.17444219066937
2022.7775,1.18070652173913
2022.8425,1.10287698109945
2022.9075,1.16651388419999
2022.9725,1.41976631024332
2023.0375,2.0502081940176
2023.1025,2.42499443602433
2023.1675,8.19695624002417
2023.2325,6.66547435615025
2023.2975,2.85536049443726
2023.3625,2.44130434160647
2023.4275,3.13100690642993
2023.4925,3.63799997965495
2023.5575,4.39424992601077
2023.6225,4.48085710832051
2023.6875,4.59211107359992
2023.7525,4.19286534281877
2023.8175,3.43692853961672
2023.8825,3.01231402720862
2023.9475,2.64027687465544
2024.0125,5.73982908426283
2024.0775,9.89182135772682
2024.1425,13.3098620940181
2024.2075,27.5267694835829
2024.2725,36.4045333339713
2024.3375,34.7222222222222
2024.4025,NA
2024.4675,NA
