time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,1
2018.0975,1,1
2018.1625,1,1
2018.2275,1,1
2018.2925,1,1
2018.3575,1,1
2018.4225,1,1
2018.4875,1,1
2018.5525,1,1
2018.6175,1,1
2018.6825,1,1
2018.7475,1,1
2018.8125,1,1
2018.8775,1,1
2018.9425,1,1
2019.0075,1,1
2019.0725,1,1
2019.1375,1,1
2019.2025,1,1
2019.2675,1,1
2019.3325,1,1
2019.3975,1,1
2019.4625,1,1
2019.5275,1,1
2019.5925,1,1
2019.6575,1,1
2019.7225,1,1
2019.7875,1,1
2019.8525,1,1
2019.9175,1,1
2019.9825,1,1
2020.0475,1,1
2020.1125,1,1
2020.1775,1,1
2020.2425,1,1
2020.3075,1,1
2020.3725,1,1
2020.4375,1,1
2020.5025,1,1
2020.5675,1,1
2020.6325,1,1
2020.6975,1,1
2020.7625,1,1
2020.8275,1,1
2020.8925,1,1
2020.9575,1,1
2021.0225,1,1
2021.0875,1,1
2021.1525,1,1
2021.2175,1,1
2021.2825,1,1
2021.3475,1,1
2021.4125,1,1
2021.4775,1,1
2021.5425,1,1
2021.6075,1,1
2021.6725,1,1
2021.7375,1,1
2021.8025,1,1
2021.8675,1,1
2021.9325,1,1
2021.9975,1,1
2022.0625,1,1
2022.1275,1,1
2022.1925,1,1
2022.2575,1,1
2022.3225,1,1
2022.3875,1,1
2022.4525,1,1.20199999809265
2022.5175,1,1.12624999880791
2022.5825,1,1.12624999880791
2022.6475,1,1.15571429048266
2022.7125,1,1.19031250104308
2022.7775,1,1.12180000066757
2022.8425,1,1.19538461245023
2022.9075,1,1.26272727142681
2022.9725,1.09901408410408,1.26233766140876
2023.0375,1.01756521722545,1.13007142714092
2023.1025,1.08275409761022,1.13322344193092
2023.1675,1.06418181766163,1.12916256054282
2023.2325,1.08371212085088,1.1858461526724
2023.2975,1.03960784276326,1.35564516052123
2023.3625,1,1.2982499986887
2023.4275,1,2.69999996821086
2023.4925,1,3.03999996185303
2023.5575,1,3.03999996185303
2023.6225,1.08333333333333,3.18571424484253
2023.6875,1.31411765603458,3.23124995827675
2023.7525,1.50999999046326,2.8631578495628
2023.8175,1.85624997814496,2.91129028412604
2023.8825,2.79957139236586,3.21974133417524
2023.9475,3.12354667912718,3.36499996515956
2024.0125,2.78677327949579,7.94684544860329
2024.0775,7.44263715728194,13.8340438102108
2024.1425,6.18275456157273,23.6709816558229
2024.2075,18.4505584185499,27.063372575068
2024.2725,21.0019867633352,24.0236619803267
2024.3375,25.7647058823529,30.2173913043478
2024.4025,NA,NA
2024.4675,NA,NA
