time,Brazil_cropland_natural_vegetation_crop_mask
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1.00773195876289
2020.3725,1.01030927835052
2020.4375,1.01017500013113
2020.5025,1.00356666684151
2020.5675,1.00267500013113
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1.0075
2021.6075,1.01017500013113
2021.6725,1.00133750006557
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1.00333333333333
2021.9975,1.01187083348632
2022.0625,1.00798214303596
2022.1275,1.0068166667223
2022.1925,1.01164464297039
2022.2575,1.00831369061555
2022.3225,1.00333717955993
2022.3875,1.0075
2022.4525,1.02559162726525
2022.5175,1.01363343577096
2022.5825,1.01329272728075
2022.6475,1.0211160033869
2022.7125,1.04709383455681
2022.7775,1.0480755306022
2022.8425,1.05955563267661
2022.9075,1.11153376267719
2022.9725,1.17832540194893
2023.0375,1.06611104733891
2023.1025,1.10666180180503
2023.1675,1.09727178254436
2023.2325,1.12296899884822
2023.2975,1.11681443142216
2023.3625,1.08968253761302
2023.4275,1.44819589707402
2023.4925,1.64312883380313
2023.5575,1.76131574077039
2023.6225,1.88521055627858
2023.6875,2.00171576293533
2023.7525,2.12064612834069
2023.8175,2.47543193951367
2023.8825,3.04423270169924
2023.9475,3.26844792899107
2024.0125,5.25856121190444
2024.0775,11.4084331685426
2024.1425,15.242940000139
2024.2075,23.0783900044593
2024.2725,22.5814266343116
2024.3375,28.3109558187882
2024.4025,NA
2024.4675,NA
