time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,1.52999997138977
2018.0975,1,1
2018.1625,1,1
2018.2275,1,1
2018.2925,1,1
2018.3575,1,1
2018.4225,1,1
2018.4875,1,1
2018.5525,1,1
2018.6175,1,1
2018.6825,1,1
2018.7475,1,1.21199998855591
2018.8125,1,1.35333331425985
2018.8775,1,1.35333331425985
2018.9425,1,1.35333331425985
2019.0075,1,1.35333331425985
2019.0725,1,1
2019.1375,1,1
2019.2025,1,1
2019.2675,1,1.21199998855591
2019.3325,1,1.26499998569489
2019.3975,1,1.35333331425985
2019.4625,1,1.35333331425985
2019.5275,1,1.35333331425985
2019.5925,1,1.26499998569489
2019.6575,1,1.35333331425985
2019.7225,1,1.35333331425985
2019.7875,1,1.35333331425985
2019.8525,1,1.26499998569489
2019.9175,1,1.21199998855591
2019.9825,1,1.26499998569489
2020.0475,1,1.26499998569489
2020.1125,1,1.26499998569489
2020.1775,1,1
2020.2425,1,1.21199998855591
2020.3075,1,1.21199998855591
2020.3725,1,1.26499998569489
2020.4375,1,1.26499998569489
2020.5025,1,1.21199998855591
2020.5675,1,1
2020.6325,1,1.21199998855591
2020.6975,1,1
2020.7625,1,1.21199998855591
2020.8275,1,1.26499998569489
2020.8925,1,1.21199998855591
2020.9575,1,1.21199998855591
2021.0225,1,1
2021.0875,1,1.21199998855591
2021.1525,1,1.21199998855591
2021.2175,1,1
2021.2825,1,1
2021.3475,1,1
2021.4125,1,1
2021.4775,1,1
2021.5425,1,1
2021.6075,1,1
2021.6725,1,1
2021.7375,1,1
2021.8025,1,1
2021.8675,1,1
2021.9325,1,1
2021.9975,1,1
2022.0625,1,1
2022.1275,1,1
2022.1925,1,1
2022.2575,1,1
2022.3225,1,1
2022.3875,1,1
2022.4525,1,1.14999999318804
2022.5175,1,1.61538461538462
2022.5825,1,2.08461537727943
2022.6475,1,2.25833332538605
2022.7125,1,2.28760000228882
2022.7775,1,2.18851852416992
2022.8425,1,1.84522727402774
2022.9075,1,1.81651162546734
2022.9725,1.01976744241493,1.86935897056873
2023.0375,1.30223076893733,5.48620481519813
2023.1025,1.73419580426249,5.67060377102977
2023.1675,3.44816037169043,7.64674207419832
2023.2325,8.02993376997133,10.2950427267287
2023.2975,1.69333333235521,3.46596153882834
2023.3625,1.76,3.1472500026226
2023.4275,1,2.13333336512248
2023.4925,1,2.36000003814697
2023.5575,1,2.36000003814697
2023.6225,1,2.4166667064031
2023.6875,1,2.36000003814697
2023.7525,1,2.2363636710427
2023.8175,1.36428572450365,2.64531914731289
2023.8825,2.12582784614816,2.90398231860811
2023.9475,2.16484157846007,2.34426445978758
2024.0125,1.79111269477388,6.88950114428587
2024.0775,6.53807054095248,11.6277934884418
2024.1425,10.1838323398978,17.7104035835095
2024.2075,24.7129104544422,29.0023754757483
2024.2725,34.2918686935998,38.714375000861
2024.3375,34.3529411764706,39.4736842105263
2024.4025,NA,NA
2024.4675,NA,NA
