time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,1
2018.0975,1,1
2018.1625,1,1
2018.2275,1,1
2018.2925,1,1
2018.3575,1,1
2018.4225,1,1
2018.4875,1,1
2018.5525,1,1
2018.6175,1,1
2018.6825,1,1
2018.7475,1,1
2018.8125,1,1
2018.8775,1,1
2018.9425,1,1
2019.0075,1,1
2019.0725,1,1
2019.1375,1,1
2019.2025,1,1
2019.2675,1,1
2019.3325,1,1
2019.3975,1,1
2019.4625,1,1
2019.5275,1,1
2019.5925,1,1
2019.6575,1,1
2019.7225,1,1
2019.7875,1,1
2019.8525,1,1
2019.9175,1,1
2019.9825,1,1
2020.0475,1,1
2020.1125,1,1
2020.1775,1,1
2020.2425,1,1
2020.3075,1,1
2020.3725,1,1
2020.4375,1,1
2020.5025,1,1
2020.5675,1,1
2020.6325,1,1
2020.6975,1,1
2020.7625,1,1
2020.8275,1,1
2020.8925,1,1
2020.9575,1,1
2021.0225,1,1
2021.0875,1,1
2021.1525,1,1
2021.2175,1,1
2021.2825,1,1.0048895791173
2021.3475,1,1.0048895791173
2021.4125,1,1.00349255651236
2021.4775,1,1
2021.5425,1,1.0048895791173
2021.6075,1,1.0048895791173
2021.6725,1,1.0048895791173
2021.7375,1,1.00407464926442
2021.8025,1,1.00407464926442
2021.8675,1,1.00407464926442
2021.9325,1,1.00856230904659
2021.9975,1,1.2381359577179
2022.0625,1,1.59533989429474
2022.1275,1,1.48060505919986
2022.1925,1,1.47627191543579
2022.2575,1,1.86508910655975
2022.3225,1,1.86508910655975
2022.3875,1,1.61792079039982
2022.4525,1,2.08136138319969
2022.5175,1,4.7010459259439
2022.5825,1,7.19684136233159
2022.6475,1,8.56251085193261
2022.7125,1,7.72578126114005
2022.7775,1,13.0939410058352
2022.8425,1,16.5833007524598
2022.9075,1,12.4389269076702
2022.9725,1.03699148189598,7.17647345268319
2023.0375,2.65231693714302,10.1371700998349
2023.1025,4.34556164556001,14.5146095321328
2023.1675,11.5101923960544,29.2178519953315
2023.2325,24.1283905117307,39.3548405543998
2023.2975,4.87652180580677,21.4169214353758
2023.3625,3.58289564996958,15.310161379029
2023.4275,1,1.26009805449124
2023.4925,1,1.39313994754444
2023.5575,1,1.55602291226387
2023.6225,1,1.5936881278952
2023.6875,1.00459650497884,1.495001537556
2023.7525,1.0219136559651,1.69072970602661
2023.8175,1.02977032478639,1.23292809959141
2023.8825,1.07376902595533,1.40966118366386
2023.9475,1.10391280826763,2.79005697224816
2024.0125,1.1532618472148,8.48670340945613
2024.0775,4.12400423587121,12.1775334044101
2024.1425,10.7256448493694,19.7006080820346
2024.2075,16.4090119995345,26.7180617872242
2024.2725,7.19513322010201,18.1647054659539
2024.3375,3.56940762139857,6.32941246256232
2024.4025,NA,NA
2024.4675,NA,NA
