time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,1
2018.0975,1,1
2018.1625,1,1
2018.2275,1,1
2018.2925,1,1
2018.3575,1,1
2018.4225,1,1
2018.4875,1,1
2018.5525,1,1
2018.6175,1,1
2018.6825,1,1
2018.7475,1,1
2018.8125,1,1
2018.8775,1,1
2018.9425,1,1
2019.0075,1,1
2019.0725,1,1
2019.1375,1,1
2019.2025,1,1
2019.2675,1,1
2019.3325,1,1
2019.3975,1,1
2019.4625,1,1
2019.5275,1,1
2019.5925,1,1
2019.6575,1,1
2019.7225,1,1
2019.7875,1,1
2019.8525,1,1
2019.9175,1,1
2019.9825,1,1
2020.0475,1,1
2020.1125,1,1
2020.1775,1,1
2020.2425,1,1
2020.3075,1,1
2020.3725,1,1
2020.4375,1,1
2020.5025,1,1
2020.5675,1,1
2020.6325,1,1
2020.6975,1,1
2020.7625,1,1
2020.8275,1,1
2020.8925,1,1
2020.9575,1,1
2021.0225,1,1
2021.0875,1,1
2021.1525,1,1
2021.2175,1,1
2021.2825,1,1
2021.3475,1,1
2021.4125,1,1
2021.4775,1,1
2021.5425,1,1
2021.6075,1,1
2021.6725,1,1
2021.7375,1,1
2021.8025,1,1
2021.8675,1,1
2021.9325,1,1
2021.9975,1,1
2022.0625,1,1
2022.1275,1,1
2022.1925,1,1
2022.2575,1,1
2022.3225,1,1
2022.3875,1,1
2022.4525,1,1
2022.5175,1,1
2022.5825,1,1
2022.6475,1,1
2022.7125,1,1.04671280276817
2022.7775,1,1.15873015873016
2022.8425,1,1.26881720430108
2022.9075,1,1.30364372469636
2022.9725,1.00552208835341,1.15983606557377
2023.0375,1.01320422535211,1.09403546480387
2023.1025,1.00776647027317,1.04495476687543
2023.1675,1.00184530216823,1.02515137401025
2023.2325,1.03523035230352,1.13774403470715
2023.2975,1,1.41945773524721
2023.3625,1,1.04450261780105
2023.4275,1,1.1304347826087
2023.4925,1,1.19867549668874
2023.5575,1,1.16582914572864
2023.6225,1,1.17241379310345
2023.6875,1,1.15463917525773
2023.7525,1,1.32894736842105
2023.8175,1,1.08245243128964
2023.8825,1,1.10477453580902
2023.9475,1.09943757030371,1.15832940066069
2024.0125,1.09495314440555,2.18147925435972
2024.0775,2.25420595304127,2.83298294790946
2024.1425,1.27708779443255,3.36804308797128
2024.2075,3.33397870280735,4.61350345560873
2024.2725,3.39429928741092,5.3900481540931
2024.3375,4.13186813186813,5.67088607594937
2024.4025,NA,NA
2024.4675,NA,NA
