time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,2,2
2018.0975,2,2
2018.1625,2,2
2018.2275,2,2
2018.2925,2,2
2018.3575,2,2
2018.4225,2,2
2018.4875,2,2
2018.5525,2,2
2018.6175,2,2
2018.6825,2,2
2018.7475,2,2
2018.8125,2,2
2018.8775,2,2
2018.9425,2,2
2019.0075,2,2
2019.0725,2,2
2019.1375,2,2
2019.2025,2,2
2019.2675,2,2
2019.3325,2,2
2019.3975,2,2
2019.4625,2,2
2019.5275,2,2
2019.5925,2,2
2019.6575,2,2
2019.7225,2,2
2019.7875,2,2
2019.8525,2,2
2019.9175,2,2
2019.9825,2,2
2020.0475,2,2
2020.1125,2,2
2020.1775,2,2
2020.2425,2,2
2020.3075,2,2
2020.3725,2,2
2020.4375,2,2
2020.5025,2,2
2020.5675,2,2
2020.6325,2,2
2020.6975,2,2
2020.7625,2,2
2020.8275,2,2
2020.8925,2,2
2020.9575,2,2
2021.0225,2,2
2021.0875,2,2
2021.1525,2,2
2021.2175,2,2
2021.2825,2,2
2021.3475,2,2
2021.4125,2,2
2021.4775,2,2
2021.5425,2,2
2021.6075,2,2
2021.6725,2,2
2021.7375,2,2
2021.8025,2,2
2021.8675,2,2
2021.9325,2,2
2021.9975,2,2
2022.0625,2,2
2022.1275,2,2
2022.1925,2,2
2022.2575,2,2
2022.3225,2,2
2022.3875,2,7.18181818181818
2022.4525,2,9.30769230769231
2022.5175,2,13.125
2022.5825,2,18.1724137931034
2022.6475,2,20.1818181818182
2022.7125,2,20.0909090909091
2022.7775,2,30.1282051282051
2022.8425,3.125,35.9787234042553
2022.9075,2.41666666666667,36.8834951456311
2022.9725,6.61111111111112,21.5272727272727
2023.0375,8.45756457564576,18.1637168141593
2023.1025,12.0916808149406,16.7085427135678
2023.1675,20.9593345656192,26.9157894736842
2023.2325,21.7349397590362,30.4192307692308
2023.2975,7.44444444444444,22.3095238095238
2023.3625,10.3333333333333,26.0897435897436
2023.4275,2,91
2023.4925,2,106.8
2023.5575,2,108.8
2023.6225,2,114.285714285714
2023.6875,9.91304347826087,115.333333333333
2023.7525,13.8529411764706,80.8260869565217
2023.8175,22.1538461538461,81.972972972973
2023.8825,78.5023255813954,107.825396825397
2023.9475,88.8966986155486,103.463414634146
2024.0125,57.9787844036701,71.2808333333329
2024.0775,40.3249651324966,56.8765315739869
2024.1425,44.8878718535469,68.6884057971014
2024.2075,68.4118811881187,111.378181818182
2024.2725,102.548117154812,123.901960784314
2024.3375,64.7619047619047,86.3333333333333
2024.4025,NA,NA
2024.4675,NA,NA
