time,pop_2000_scaled_log
2018.0325,2
2018.0975,2
2018.1625,2
2018.2275,2
2018.2925,2
2018.3575,2
2018.4225,2
2018.4875,2
2018.5525,2
2018.6175,2
2018.6825,2
2018.7475,2
2018.8125,2
2018.8775,2
2018.9425,2
2019.0075,2
2019.0725,2
2019.1375,2
2019.2025,2.05277777777778
2019.2675,2
2019.3325,2
2019.3975,2
2019.4625,2
2019.5275,2
2019.5925,2
2019.6575,2
2019.7225,2
2019.7875,2
2019.8525,2
2019.9175,2
2019.9825,2
2020.0475,2
2020.1125,2
2020.1775,2
2020.2425,2.04947916666667
2020.3075,2.0979381443299
2020.3725,2.11752577319588
2020.4375,2.114
2020.5025,2.095
2020.5675,2.0475
2020.6325,2
2020.6975,2
2020.7625,2
2020.8275,2
2020.8925,2
2020.9575,2
2021.0225,2
2021.0875,2
2021.1525,2
2021.2175,2
2021.2825,2
2021.3475,2
2021.4125,2
2021.4775,2.03166666666667
2021.5425,2.095
2021.6075,2.12666666666667
2021.6725,2.02714285714286
2021.7375,2
2021.8025,2
2021.8675,2
2021.9325,2.05987878787879
2021.9975,2.154375
2022.0625,2.09623376623377
2022.1275,2.0475
2022.1925,2.1892803030303
2022.2575,2.28339591567852
2022.3225,2.25240606060606
2022.3875,2.44552418595897
2022.4525,2.89301469672137
2022.5175,3.25931526995388
2022.5825,3.91390295024115
2022.6475,4.92688526153885
2022.7125,9.357643828054
2022.7775,16.7830204666696
2022.8425,16.0311353094948
2022.9075,11.8390515915574
2022.9725,12.7389956976166
2023.0375,12.8950017776176
2023.1025,14.543109182393
2023.1675,23.5346714653051
2023.2325,26.4127432284633
2023.2975,15.7405087908696
2023.3625,16.3272116779384
2023.4275,20.2381012963124
2023.4925,30.955777389627
2023.5575,36.6049909335627
2023.6225,42.3579119689041
2023.6875,45.9414122271954
2023.7525,45.5605654907758
2023.8175,57.020994604793
2023.8825,91.5176686625232
2023.9475,98.948752181363
2024.0125,64.714984542173
2024.0775,47.9934212455742
2024.1425,54.1101622313725
2024.2075,90.9232400664543
2024.2725,111.443385712593
2024.3375,74.9930213594047
2024.4025,NA
2024.4675,NA
