time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,4.80952380952381
2018.0975,1,2.2
2018.1625,1,6.23809523809524
2018.2275,1,4.77272727272727
2018.2925,1,2.7
2018.3575,1,1.51724137931034
2018.4225,1,1.95652173913043
2018.4875,1,3.22727272727273
2018.5525,1,4.125
2018.6175,1,2.65217391304348
2018.6825,1,3.86363636363636
2018.7475,1,4.33333333333333
2018.8125,1,2.95833333333333
2018.8775,1,3.04545454545455
2018.9425,1,4.85714285714286
2019.0075,1,5.65384615384615
2019.0725,1,4.65217391304348
2019.1375,1,4.26923076923077
2019.2025,1,5.38461538461538
2019.2675,1,4.80769230769231
2019.3325,1,3.95833333333333
2019.3975,1,3.68
2019.4625,1,4.66666666666667
2019.5275,1,4.03846153846154
2019.5925,1,4.56
2019.6575,1,4.37037037037037
2019.7225,1,3.84615384615385
2019.7875,1,3.61538461538462
2019.8525,1,4.48387096774194
2019.9175,1,3.42857142857143
2019.9825,1,4.06666666666667
2020.0475,1,3.63888888888889
2020.1125,1,2.89655172413793
2020.1775,1,4
2020.2425,1,3.86666666666667
2020.3075,1,3.90909090909091
2020.3725,1,2.88235294117647
2020.4375,1,3.54285714285714
2020.5025,1,4.17073170731707
2020.5675,1,3.08571428571429
2020.6325,1,2.83333333333333
2020.6975,1,3.18604651162791
2020.7625,1,3.85714285714286
2020.8275,1,3.46153846153846
2020.8925,1,3.15686274509804
2020.9575,1,3.02173913043478
2021.0225,1,2.61702127659575
2021.0875,1,2.85185185185185
2021.1525,1,3.17567567567567
2021.2175,1,2.12244897959184
2021.2825,1,2.65217391304348
2021.3475,1,1.84615384615385
2021.4125,1,1.91666666666667
2021.4775,1,2
2021.5425,1,1.9672131147541
2021.6075,1,2.11428571428571
2021.6725,1,1.82558139534884
2021.7375,1,1.60294117647059
2021.8025,1,1.53658536585366
2021.8675,1,1.73333333333333
2021.9325,1,1.48888888888889
2021.9975,1,1.62857142857143
2022.0625,1,1.55102040816327
2022.1275,1,1.56521739130435
2022.1925,1,1.38970588235294
2022.2575,1,1.39583333333333
2022.3225,1,1.16176470588235
2022.3875,1,1.60591133004926
2022.4525,1,1.5015479876161
2022.5175,1,1.56930693069307
2022.5825,1,1.59635416666667
2022.6475,1,1.74449339207049
2022.7125,1,1.75626423690205
2022.7775,1,1.84014532243415
2022.8425,1,2.02518891687658
2022.9075,1,2.47712418300653
2022.9725,1.0898652021967,1.70857511283043
2023.0375,1.28428270042194,1.68887177512514
2023.1025,1.29184961580681,1.53738592876066
2023.1675,1.34584038136245,1.56590591523054
2023.2325,1.17077570655442,1.37658717869309
2023.2975,1.02990654205607,1.69175627240143
2023.3625,1.00296296296296,1.50185414091471
2023.4275,1,1.66428571428572
2023.4925,1,2.1010101010101
2023.5575,1,1.95689655172414
2023.6225,1,2.74766355140187
2023.6875,1,2.42105263157895
2023.7525,1,3.24561403508772
2023.8175,1.03757225433526,4.48275862068966
2023.8825,1.46722846441948,3.34274193548387
2023.9475,1.70256238486017,2.03876141679659
2024.0125,1.57961341769958,4.16914042333494
2024.0775,4.65682008368174,6.74767280649651
2024.1425,2.80042826552464,8.51105442176873
2024.2075,6.74448217317489,9.83386327503975
2024.2725,9.40655737704922,14.7837837837838
2024.3375,6.23595505617978,19.8181818181818
2024.4025,NA,NA
2024.4675,NA,NA
