time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,1
2018.0975,1,1
2018.1625,1,1
2018.2275,1,1
2018.2925,1,1
2018.3575,1,1
2018.4225,1,1
2018.4875,1,1
2018.5525,1,1
2018.6175,1,1
2018.6825,1,1
2018.7475,1,1
2018.8125,1,1
2018.8775,1,1
2018.9425,1,1
2019.0075,1,1
2019.0725,1,1
2019.1375,1,1
2019.2025,1,1
2019.2675,1,1
2019.3325,1,1
2019.3975,1,1
2019.4625,1,1
2019.5275,1,1
2019.5925,1,1
2019.6575,1,1
2019.7225,1,1
2019.7875,1,1
2019.8525,1,1
2019.9175,1,1
2019.9825,1,1
2020.0475,1,1
2020.1125,1,1
2020.1775,1,1
2020.2425,1,1
2020.3075,1,1
2020.3725,1,1
2020.4375,1,1
2020.5025,1,1
2020.5675,1,1
2020.6325,1,1
2020.6975,1,1
2020.7625,1,1
2020.8275,1,1
2020.8925,1,1
2020.9575,1,1
2021.0225,1,1
2021.0875,1,1
2021.1525,1,1
2021.2175,1,1
2021.2825,1,1
2021.3475,1,1
2021.4125,1,1
2021.4775,1,1
2021.5425,1,1
2021.6075,1,1
2021.6725,1,1
2021.7375,1,1
2021.8025,1,1
2021.8675,1,1
2021.9325,1,1
2021.9975,1,1
2022.0625,1,1
2022.1275,1,1
2022.1925,1,1
2022.2575,1,1
2022.3225,1,1
2022.3875,1,1
2022.4525,1,1
2022.5175,1,1
2022.5825,1,1
2022.6475,1,1
2022.7125,1,1
2022.7775,1,1
2022.8425,1,1.22120330146715
2022.9075,1,1.85285099653097
2022.9725,1.0188284933567,1.65446611993453
2023.0375,1,37.0570309702307
2023.1025,1,29.671614299884
2023.1675,2.78710903528671,38.2195028130729
2023.2325,19.1583221544555,26.2610672148718
2023.2975,1.00662612856025,1.27689017606585
2023.3625,1,1.3331873186173
2023.4275,1,2.65037662104556
2023.4925,1,4.0137277841568
2023.5575,1,3.76591458040125
2023.6225,1,3.34222878109325
2023.6875,1,3.97889762766221
2023.7525,1,9.95067994490914
2023.8175,1,11.3908828735352
2023.8825,1,6.33205590205278
2023.9475,5.25932262614985,8.42156959265131
2024.0125,6.32285755794677,178.017158108912
2024.0775,26.6023273185521,238.168475574892
2024.1425,26.4429288017017,615.29617982401
2024.2075,252.524429905799,639.621786947969
2024.2725,29.8817100524902,362.299949976791
2024.3375,158.037474132719,619.391400850736
2024.4025,NA,NA
2024.4675,NA,NA
