time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,2,85.6666666666667
2018.0975,2,73.3333333333333
2018.1625,2,67.8
2018.2275,2,70
2018.2925,2,66.3333333333333
2018.3575,2,59
2018.4225,2,83.75
2018.4875,2,87.2
2018.5525,2,87.2
2018.6175,2,78
2018.6825,2,83.75
2018.7475,2,69.6666666666667
2018.8125,2,70
2018.8775,2,60.5
2018.9425,2,70
2019.0075,2,66.5
2019.0725,2,73.4
2019.1375,2,70
2019.2025,2,70
2019.2675,2,73.4
2019.3325,2,70
2019.3975,2,95.5
2019.4625,2,94.6
2019.5275,2,92.5
2019.5925,2,91.6666666666667
2019.6575,2,91
2019.7225,2,83.75
2019.7875,2,91
2019.8525,2,78.3333333333333
2019.9175,2,78
2019.9825,2,83.3333333333333
2020.0475,2,84
2020.1125,2,89
2020.1775,2,79.5
2020.2425,2,78
2020.3075,2,73.6666666666667
2020.3725,2,72.1428571428571
2020.4375,2,68
2020.5025,2,72
2020.5675,2,68.5
2020.6325,2,72.5
2020.6975,2,68.5
2020.7625,2,68.5
2020.8275,2,66.5
2020.8925,2,60.8333333333333
2020.9575,2,66.6
2021.0225,2,61.4
2021.0875,2,68.5
2021.1525,2,68
2021.2175,2,65.2
2021.2825,2,62.8888888888889
2021.3475,2,57.5
2021.4125,2,59.1428571428571
2021.4775,2,54.6666666666667
2021.5425,2,57
2021.6075,2,59.6666666666667
2021.6725,2,52.25
2021.7375,2,50.1428571428571
2021.8025,2,45.6153846153846
2021.8675,2,49.5
2021.9325,2,40.8333333333333
2021.9975,2,41.5
2022.0625,2,38.3333333333333
2022.1275,2,49.5
2022.1925,2,46.25
2022.2575,2,42.7142857142857
2022.3225,2,42.2
2022.3875,2,55.8
2022.4525,2,49.9444444444444
2022.5175,2,46.9615384615385
2022.5825,2,48.5454545454545
2022.6475,2,48.4074074074074
2022.7125,2,48.8333333333333
2022.7775,3.11111111111111,42.16
2022.8425,2.76923076923077,31.6
2022.9075,3.52542372881356,30.025641025641
2022.9725,9.77540106951873,18.1528925619835
2023.0375,9.63541666666666,19.8578199052133
2023.1025,12.356940509915,22.1478494623656
2023.1675,24.4650602409638,31.756157635468
2023.2325,19.0208333333333,30.0393258426966
2023.2975,8.74528301886792,26.1941747572816
2023.3625,9.90666666666667,31.3846153846154
2023.4275,4.26190476190476,129.285714285714
2023.4925,4.71428571428572,130.181818181818
2023.5575,6.1304347826087,131.9
2023.6225,14.6129032258065,132.142857142857
2023.6875,36.4117647058824,133.4
2023.7525,33.8333333333333,120.666666666667
2023.8175,33.8989898989899,89.4
2023.8825,66.9141414141414,106.7
2023.9475,90.5862533692722,104.614420062696
2024.0125,60.0404829545455,78.8652968036529
2024.0775,37.7754206291149,50.5856950067476
2024.1425,47.2832512315271,84.7265917602997
2024.2075,68.5229681978798,128.549295774648
2024.2725,96.8131868131868,121.783625730994
2024.3375,63.2727272727273,85.1176470588235
2024.4025,NA,NA
2024.4675,NA,NA
