time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,3.7856711273392
2018.0975,1,2.10388817886511
2018.1625,1,2.28324381510417
2018.2275,1,2.54942452907562
2018.2925,1,2.04230262339115
2018.3575,1,2.13944270213445
2018.4225,1,2.06224417686462
2018.4875,1,2.03294968605042
2018.5525,1,2.03294968605042
2018.6175,1,1.77471226453781
2018.6825,1,2.03294968605042
2018.7475,1,2.03294968605042
2018.8125,1,2.54942452907562
2018.8775,1,2.03294968605042
2018.9425,1,2.54942452907562
2019.0075,1,2.54942452907562
2019.0725,1,1.77716168272309
2019.1375,1,2.03621557696412
2019.2025,1,2.04881583123157
2019.2675,1,2.04881583123157
2019.3325,1,1.8400800973177
2019.3975,1,2.03294968605042
2019.4625,1,2.03294968605042
2019.5275,1,2.03294968605042
2019.5925,1,2.03549854954084
2019.6575,1,1.78013294446282
2019.7225,1,2.03294968605042
2019.7875,1,2.03762839579334
2019.8525,1,2.03762839579334
2019.9175,1,1.77471226453781
2019.9825,1,2.02405136823654
2020.0475,1,2.23252713680267
2020.1125,1,2.03549854954084
2020.1775,1,2.52276094754537
2020.2425,1,2.03294968605042
2020.3075,1,2.0429402437682
2020.3725,1,2.03762839579334
2020.4375,1,2.54942452907562
2020.5025,1,2.03294968605042
2020.5675,1,2.04750988259912
2020.6325,1,2.03294968605042
2020.6975,1,2.03542054723948
2020.7625,1,2.54942452907562
2020.8275,1,2.54942452907562
2020.8925,1,2.2506835659345
2020.9575,1,2.54942452907562
2021.0225,1,2.18566531439622
2021.0875,1,2.54942452907562
2021.1525,1,2.03801055718213
2021.2175,1,2.06900295739373
2021.2825,1,2.57896233722568
2021.3475,1,2.54942452907562
2021.4125,1,2.57896233722568
2021.4775,1,2.68350228667259
2021.5425,1,2.54942452907562
2021.6075,1,2.54942452907562
2021.6725,1,2.59867008402944
2021.7375,1,2.19953294098377
2021.8025,1,2.57896233722568
2021.8675,1,2.0888724848628
2021.9325,1,2.58769737929106
2021.9975,1,2.54942452907562
2022.0625,1,2.54942452907562
2022.1275,1,2.6797908693552
2022.1925,1,3.10406134650111
2022.2575,1,9.38634401621918
2022.3225,1,13.5418371856213
2022.3875,1,17.7224495808283
2022.4525,1,12.7167188256979
2022.5175,1,11.0551763147116
2022.5825,1,10.4955594241619
2022.6475,1,10.4540015545984
2022.7125,1.00086239608936,5.0118267926077
2022.7775,1.00025955309619,3.75992114888504
2022.8425,1.00005148633369,4.33312097671965
2022.9075,1.00489650394372,4.764295869648
2022.9725,1.08523863572849,22.3530879842077
2023.0375,1.0624105476109,49.0435494813749
2023.1025,6.05664903908535,75.4283227215434
2023.1675,14.3163594809309,82.1482446653231
2023.2325,10.0345963092411,36.6906917473321
2023.2975,6.68409987829093,25.6926216997884
2023.3625,3.69525173554818,21.2877000272274
2023.4275,1.0341037184,1.44936618208885
2023.4925,1.02107359919893,1.63370398581028
2023.5575,1.01482770365217,2.0561733096838
2023.6225,1.01420988266667,1.96903595328331
2023.6875,1.02006101082353,9.54591968655586
2023.7525,1.02107359919893,16.9804488003254
2023.8175,1.0353694299334,15.4661048937204
2023.8825,3.05931031221737,7.67131802470198
2023.9475,1.66412831466799,2.45969612015306
2024.0125,1.09977178250817,1.21414042537481
2024.0775,10.7985502153221,18.6572909821975
2024.1425,12.01588113094,33.6102053993966
2024.2075,10.5200692788363,24.2801040256765
2024.2725,9.90495139554045,25.8903123917109
2024.3375,2.24432118121078,3.36247351964483
2024.4025,NA,NA
2024.4675,NA,NA
