time,cultivated_managed_vegetation
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1.3375
2020.8925,1.22134387351779
2020.9575,1.03846153846154
2021.0225,1.08831168831169
2021.0875,1
2021.1525,1.33055555555556
2021.2175,1.41304347826087
2021.2825,1.70076726342711
2021.3475,1.40285204991087
2021.4125,1.50862068965517
2021.4775,1.43913043478261
2021.5425,1.03333333333333
2021.6075,1
2021.6725,1
2021.7375,1.5
2021.8025,1.34705882352941
2021.8675,1.65686274509804
2021.9325,1.91153846153846
2021.9975,1.95737986270023
2022.0625,1.6218487394958
2022.1275,1.81593406593407
2022.1925,1.7231123388582
2022.2575,1.99099099099099
2022.3225,1.97222222222222
2022.3875,2.16826309067688
2022.4525,2.51452510351967
2022.5175,2
2022.5825,1.8898401826484
2022.6475,2.10366626028546
2022.7125,2.2277608180368
2022.7775,2.42217864715354
2022.8425,3.06190543202927
2022.9075,2.9926273458445
2022.9725,3.28239177263568
2023.0375,5.03257328990228
2023.1025,15.9788899756151
2023.1675,22.5974387645756
2023.2325,17.0307087266104
2023.2975,12.5642996785845
2023.3625,28.65625
2023.4275,8.66666666666667
2023.4925,8.66666666666667
2023.5575,7.075
2023.6225,6.75
2023.6875,5.22746697746697
2023.7525,4.8180636777128
2023.8175,6.47629676870748
2023.8825,8.47826777032186
2023.9475,7.33864228118382
2024.0125,5.61194030468157
2024.0775,26.7994791896147
2024.1425,31.474497336914
2024.2075,31.3701309346003
2024.2725,43.0437993053151
2024.3375,43.4490897147147
2024.4025,NA
2024.4675,NA
