time,herbaceous_vegetation
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1
2022.3225,1
2022.3875,1.07692307692308
2022.4525,1.07459392655367
2022.5175,1.19896640826873
2022.5825,1.14069547504729
2022.6475,1.18513326713782
2022.7125,1.16298742487889
2022.7775,1.33570075757576
2022.8425,1.30303837267815
2022.9075,1.26374455246396
2022.9725,1.32552888403952
2023.0375,1.41023734022034
2023.1025,1.81385166600141
2023.1675,1.94092323739718
2023.2325,1.75607276787595
2023.2975,2.28464818763326
2023.3625,2.07142857142857
2023.4275,4
2023.4925,2.89
2023.5575,1.92857142857143
2023.6225,1.73267813267813
2023.6875,1.49193548387097
2023.7525,1.33060109289618
2023.8175,1.24441423052686
2023.8825,1.32863365928832
2023.9475,1.53764922170342
2024.0125,1.41812095774176
2024.0775,2.21783372227617
2024.1425,1.8013121958165
2024.2075,2.26387524335924
2024.2725,6.43534092201879
2024.3375,3.39901932996996
2024.4025,NA
2024.4675,NA
