time,pop_2000_scaled_log
2018.0325,2
2018.0975,2
2018.1625,2
2018.2275,2
2018.2925,2
2018.3575,2
2018.4225,2
2018.4875,2
2018.5525,2
2018.6175,2
2018.6825,2
2018.7475,2
2018.8125,2
2018.8775,2
2018.9425,2
2019.0075,2
2019.0725,2
2019.1375,2
2019.2025,2
2019.2675,2
2019.3325,2
2019.3975,2
2019.4625,2
2019.5275,2
2019.5925,2
2019.6575,2
2019.7225,2
2019.7875,2
2019.8525,2
2019.9175,2
2019.9825,2
2020.0475,2
2020.1125,2
2020.1775,2
2020.2425,2
2020.3075,2
2020.3725,2
2020.4375,2
2020.5025,2
2020.5675,2
2020.6325,2
2020.6975,2
2020.7625,2
2020.8275,2
2020.8925,2
2020.9575,2
2021.0225,2
2021.0875,2
2021.1525,2
2021.2175,2
2021.2825,2
2021.3475,2
2021.4125,2
2021.4775,2
2021.5425,2
2021.6075,2
2021.6725,2
2021.7375,2
2021.8025,2
2021.8675,2
2021.9325,2
2021.9975,2
2022.0625,2
2022.1275,2
2022.1925,2
2022.2575,2
2022.3225,7.20381231671554
2022.3875,6.61290322580645
2022.4525,6.40147783251231
2022.5175,5.62450980392157
2022.5825,5.21073717948718
2022.6475,5.11576086956522
2022.7125,5.44975744975745
2022.7775,6.21290322580646
2022.8425,14.3878787878788
2022.9075,20.8571428571429
2022.9725,16.3338356164384
2023.0375,12.3133054684779
2023.1025,33.1460704607046
2023.1675,40.8565538048944
2023.2325,30.3640350877193
2023.2975,19.8947368421053
2023.3625,43.25
2023.4275,77.3333333333333
2023.4925,77.3333333333333
2023.5575,69.4375
2023.6225,56.1880341880342
2023.6875,39.7979797979798
2023.7525,30.8125
2023.8175,31.3602540834846
2023.8825,77.9247718889536
2023.9475,105.445130915101
2024.0125,97.3211141427609
2024.0775,48.587107200154
2024.1425,60.2903703703703
2024.2075,76.6560178414741
2024.2725,74.063707842696
2024.3375,52.4947552447553
2024.4025,NA
2024.4675,NA
