time,regularly_flooded_vegetation
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1.01515151515152
2019.2675,1.0801282051282
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1.03448275862069
2019.8525,1
2019.9175,1
2019.9825,1.315
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1.10614886731392
2021.9975,1.29861111111111
2022.0625,1.07185254607935
2022.1275,1.825
2022.1925,2.20245726495726
2022.2575,2.73302469135802
2022.3225,2.90363636363636
2022.3875,2.96296296296296
2022.4525,3.2578947368421
2022.5175,3.05263157894737
2022.5825,2.71855590062112
2022.6475,2.62693706514864
2022.7125,2.00121160779369
2022.7775,2.03267130607032
2022.8425,2.73295985060691
2022.9075,2.94612897831782
2022.9725,2.81600209253663
2023.0375,1.81545857593076
2023.1025,1.22169164842389
2023.1675,1.15408140190399
2023.2325,1.0646942571495
2023.2975,1.02970297029703
2023.3625,1
2023.4275,1
2023.4925,1
2023.5575,1
2023.6225,1
2023.6875,1
2023.7525,1.00326797385621
2023.8175,1.09792270048936
2023.8825,1.0819345878288
2023.9475,3.24258525606766
2024.0125,3.6175749423858
2024.0775,2.14050528533331
2024.1425,1.61966500700081
2024.2075,1.35162574719853
2024.2725,1.41471422345535
2024.3375,1
2024.4025,NA
2024.4675,NA
