time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,1.70881382624308
2018.0975,1,1.88931965827942
2018.1625,1,1.75313973426819
2018.2275,1,1.50209315617879
2018.2925,1,1.70881382624308
2018.3575,1,1.75313973426819
2018.4225,1,1.50209315617879
2018.4875,1,1.70881382624308
2018.5525,1,2.06322073936462
2018.6175,1,1.53161036968231
2018.6825,1,1.70881382624308
2018.7475,1,1.75595736503601
2018.8125,1,1.70881382624308
2018.8775,1,1.75313973426819
2018.9425,1,1.75313973426819
2019.0075,1,1.50209315617879
2019.0725,1,1.53161036968231
2019.1375,1,1.53161036968231
2019.2025,1,1.50209315617879
2019.2675,1,1.50209315617879
2019.3325,1,1.53161036968231
2019.3975,1,1.42528829574585
2019.4625,1,1.42528829574585
2019.5275,1,1.53161036968231
2019.5925,1,1.42528829574585
2019.6575,1,1.42528829574585
2019.7225,1,1.53161036968231
2019.7875,1,1.42528829574585
2019.8525,1,1.50209315617879
2019.9175,1,1.42528829574585
2019.9825,1,1.53161036968231
2020.0475,1,1.53161036968231
2020.1125,1,1.42528829574585
2020.1775,1,1.70881382624308
2020.2425,1,1.42528829574585
2020.3075,1,1.50209315617879
2020.3725,1,1.50209315617879
2020.4375,1,1.37656986713409
2020.5025,1,1.37656986713409
2020.5675,1,1.37656986713409
2020.6325,1,1.42528829574585
2020.6975,1,1.37656986713409
2020.7625,1,1.37656986713409
2020.8275,1,1.37656986713409
2020.8925,1,1.42528829574585
2020.9575,1,1.50209315617879
2021.0225,1,1.37656986713409
2021.0875,1,1.42528829574585
2021.1525,1,1.37656986713409
2021.2175,1,1.53161036968231
2021.2825,1,1.6855428814888
2021.3475,1,1.46233730316162
2021.4125,1,1.56904697418213
2021.4775,1,1.56904697418213
2021.5425,1,1.42528829574585
2021.6075,1,1.15411243438721
2021.6725,1,1
2021.7375,1,1.42528829574585
2021.8025,1,1.56401596750532
2021.8675,1,1.56401596750532
2021.9325,1,1.97567296028137
2021.9975,1,2.06322073936462
2022.0625,1,1
2022.1275,1,1.57792162895203
2022.1925,1,1.57792162895203
2022.2575,1,2.06322073936462
2022.3225,1,4.6008465886116
2022.3875,1,6.65241332848867
2022.4525,1,8.1075342297554
2022.5175,1,5.38916476567586
2022.5825,1,8.0133752822876
2022.6475,1,3.94327907562256
2022.7125,1,5.5059095791408
2022.7775,1,8.36252756118774
2022.8425,1,6.25894825799125
2022.9075,1,3.62947412899562
2022.9725,1,2.36335459999416
2023.0375,1,3.50770176024664
2023.1025,1,104.477226018906
2023.1675,44.1308991568429,175.319849747878
2023.2325,19.3894919894991,98.0789362219877
2023.2975,1.0239013923066,1.1807193343456
2023.3625,1,1
2023.4275,1,1
2023.4925,1,1
2023.5575,1,1
2023.6225,1,1
2023.6875,1,1
2023.7525,1,1
2023.8175,1,1
2023.8825,1,1.24371933214592
2023.9475,2.33454808509238,2.91958025916593
2024.0125,1.68153498700993,3.33959126261855
2024.0775,223.243833496288,326.817596460212
2024.1425,2.0823840176224,413.438012557003
2024.2075,42.8113385206088,592.154842494338
2024.2725,226.479658851296,571.90650298916
2024.3375,537.367525960885,721.298001457663
2024.4025,NA,NA
2024.4675,NA,NA
