time,water
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1
2022.3225,1
2022.3875,1
2022.4525,1
2022.5175,1
2022.5825,1
2022.6475,1
2022.7125,1
2022.7775,1.90909090909091
2022.8425,2.77865612648221
2022.9075,4.3030303030303
2022.9725,3.59139784946237
2023.0375,1.74074074074074
2023.1025,1.40016006402561
2023.1675,1.3200204813108
2023.2325,1.57142857142857
2023.2975,2.66666666666667
2023.3625,4.33333333333333
2023.4275,7.66666666666667
2023.4925,7.66666666666667
2023.5575,6
2023.6225,5
2023.6875,4.33333333333333
2023.7525,3.5
2023.8175,3.92857142857143
2023.8825,12.0088638195004
2023.9475,20.4220587290368
2024.0125,19.2243643759233
2024.0775,8.6695235583685
2024.1425,10.0359688590061
2024.2075,4.36931818181818
2024.2725,1.69815489442083
2024.3375,1
2024.4025,NA
2024.4675,NA
